word,language,lang_code,category,domain,x1,x2,x3,x4,x5,x6,x7_hz,x7_norm,x8,x9_re,x9_norm,x10,x11,x11_ord,x12,L,a,b,x13_accent,x14_contour,x15_meter,x16_regularity,morph_type
klwaka,Zulu,zu,Verb/State,Sound/Impact,0.5,0.4,0.5,0.35,0.75,0.35,2500.0,0.295,0.5,1.0,0.474,0.45,0.4,3,#808080,50.0,0.0,0.0,4,0.5,1.0,0.9,STATIVE_VERB
vhahla,Zulu,zu,Sound,Sound/Impact,0.5,0.4,0.5,0.9,0.75,0.35,2500.0,0.295,0.5,1.0,0.474,0.45,0.4,3,#808080,50.0,0.0,0.0,4,0.5,1.0,0.9,ROOT
chifi,Zulu,zu,Motion,Texture/Touch,0.98,0.4,0.5,0.3,0.4,0.65,5200.0,0.641,0.5,0.6,0.263,0.45,0.6,3,#808080,50.0,0.0,0.0,2,0.5,0.0,0.5,ROOT
chifi-chifi,Zulu,zu,Motion,Texture/Touch,0.98,0.4,0.5,0.3,0.9,0.65,5200.0,0.641,0.5,1.0,0.474,0.45,0.6,3,#808080,50.0,0.0,0.0,4,0.5,1.0,0.9,REDUP_2
chifika,Zulu,zu,Verb/State,Texture/Touch,0.98,0.4,0.5,0.55,0.75,0.65,5200.0,0.641,0.5,1.0,0.474,0.45,0.85,4,#808080,50.0,0.0,0.0,4,0.5,1.0,0.9,STATIVE_VERB
klebu,Zulu,zu,Color,Color/Purity,0.65,0.4,0.5,0.35,0.4,0.35,4000.0,0.487,0.7,0.6,0.263,0.45,0.4,3,#DC143C,70.0,85.0,50.0,2,0.5,0.0,0.5,ROOT
klebu-klebu,Zulu,zu,Color,Color/Purity,0.65,0.4,0.5,0.35,0.9,0.35,4000.0,0.487,0.7,1.0,0.474,0.45,0.4,3,#DC143C,70.0,85.0,50.0,4,0.5,1.0,0.9,REDUP_2
klebuka,Zulu,zu,Verb/State,Color/Purity,0.65,0.4,0.5,0.35,0.75,0.35,4000.0,0.487,0.5,1.0,0.474,0.45,0.4,3,#808080,50.0,0.0,0.0,4,0.5,1.0,0.9,STATIVE_VERB
bhu,Zulu,zu,Sound,Sound/Impact,0.5,0.7,0.6,0.35,0.15,0.35,2500.0,0.295,0.5,0.25,0.079,0.45,0.4,3,#808080,50.0,0.0,0.0,2,0.5,0.0,0.5,ROOT
bhu-bhu,Zulu,zu,Sound,Sound/Impact,0.5,0.7,0.5,0.35,0.9,0.35,2500.0,0.295,0.5,1.0,0.474,0.45,0.4,3,#808080,50.0,0.0,0.0,4,0.5,1.0,0.9,REDUP_2
bhuka,Zulu,zu,Verb/State,Sound/Impact,0.5,0.4,0.5,0.35,0.4,0.35,2500.0,0.295,0.5,0.6,0.263,0.45,0.4,3,#808080,50.0,0.0,0.0,2,0.5,0.0,0.5,STATIVE_VERB
cwe,Zulu,zu,State,Texture/Purity,0.98,0.4,0.6,0.35,0.15,0.65,5200.0,0.641,0.5,0.25,0.079,0.45,0.85,4,#808080,50.0,0.0,0.0,2,0.5,0.0,0.5,ROOT
cwe-cwe,Zulu,zu,State,Texture/Purity,0.98,0.4,0.5,0.35,0.9,0.65,5200.0,0.641,0.5,1.0,0.474,0.45,0.85,4,#808080,50.0,0.0,0.0,4,0.5,1.0,0.9,REDUP_2
cweka,Zulu,zu,Verb/State,Texture/Purity,0.98,0.4,0.5,0.35,0.4,0.65,5200.0,0.641,0.5,0.6,0.263,0.45,0.85,4,#808080,50.0,0.0,0.0,2,0.5,0.0,0.5,STATIVE_VERB
dlu,Zulu,zu,Motion,Dynamics/Motion,0.5,0.4,0.6,0.35,0.15,0.35,2500.0,0.295,0.5,0.25,0.079,0.45,0.4,3,#808080,50.0,0.0,0.0,2,0.5,0.0,0.5,ROOT
dlu-dlu,Zulu,zu,Motion,Dynamics/Motion,0.5,0.4,0.5,0.35,0.9,0.35,2500.0,0.295,0.5,1.0,0.474,0.45,0.4,3,#808080,50.0,0.0,0.0,4,0.5,1.0,0.9,REDUP_2
dluka,Zulu,zu,Verb/State,Dynamics/Motion,0.5,0.4,0.5,0.35,0.4,0.35,2500.0,0.295,0.5,0.6,0.263,0.45,0.4,3,#808080,50.0,0.0,0.0,2,0.5,0.0,0.5,STATIVE_VERB
soi-soi,Gbaya,gba,Color,Color/Purity,0.65,0.4,0.5,0.55,0.75,0.35,4000.0,0.487,0.7,1.0,0.474,0.45,0.4,3,#DC143C,70.0,85.0,50.0,4,0.5,1.0,0.9,ROOT
gbagara-gbagara,Gbaya,gba,Motion,Dynamics/Motion,0.45,0.5,0.5,0.35,0.9,0.35,2800.0,0.333,0.5,1.0,0.474,0.5,0.6,3,#808080,50.0,0.0,0.0,4,0.5,1.0,0.9,ROOT
bulu-bulu,Gbaya,gba,State,Density/Spatial,0.5,0.4,0.5,0.35,0.75,0.35,2500.0,0.295,0.5,1.0,0.474,0.45,0.4,3,#808080,50.0,0.0,0.0,4,0.5,1.0,0.9,ROOT
kpuk-kpuk,Gbaya,gba,Sound,Physiology/Body,0.65,0.5,0.85,0.35,0.75,0.35,2800.0,0.333,0.5,1.0,0.474,0.8,0.85,4,#808080,50.0,0.0,0.0,4,0.5,1.0,0.9,ROOT
tek-tek,Gbaya,gba,Motion,Speed/Rhythm,0.65,0.15,0.5,0.35,0.75,0.35,4000.0,0.487,0.8,1.0,0.474,0.45,0.4,3,#FFF8DC,80.0,0.0,30.0,4,0.5,1.0,0.9,ROOT
gidi-gidi,Gbaya,gba,State,Psychological/Emotion,0.65,0.4,0.5,0.7,0.75,0.35,4000.0,0.487,0.5,1.0,0.474,0.45,0.4,3,#808080,50.0,0.0,0.0,4,0.5,1.0,0.9,ROOT
yee,Gbaya,gba,State,Temperature,0.65,0.4,0.6,0.35,0.15,0.35,4000.0,0.487,0.5,0.25,0.079,0.45,0.4,3,#808080,50.0,0.0,0.0,2,0.5,0.0,0.5,ROOT
kpang,Gbaya,gba,State,Posture/Position,0.5,0.98,0.5,0.35,0.55,0.15,1300.0,0.141,0.5,0.6,0.263,0.8,0.85,4,#808080,50.0,0.0,0.0,2,0.5,0.0,0.5,ROOT
kpang-kpang,Gbaya,gba,State,Posture/Position,0.5,0.98,0.5,0.35,0.98,0.15,1300.0,0.141,0.5,1.0,0.474,0.8,0.85,4,#808080,50.0,0.0,0.0,4,0.5,1.0,0.9,REDUP_2
kpangnci,Gbaya,gba,Abstract,Posture/Position,0.65,0.75,0.5,0.35,0.9,0.35,2800.0,0.333,0.5,1.0,0.474,0.8,0.85,4,#808080,50.0,0.0,0.0,4,0.5,1.0,0.9,DERIVATIVE
fio-fio,Gbaya,gba,State,Density/Distance,0.65,0.4,0.5,0.55,0.75,0.35,4000.0,0.487,0.5,1.0,0.474,0.45,0.4,3,#808080,50.0,0.0,0.0,4,0.5,1.0,0.9,ROOT
dir-dir,Gbaya,gba,State,Mass/Weight,0.65,0.7,0.5,0.35,0.75,0.35,4000.0,0.487,0.5,1.0,0.474,0.8,0.4,3,#808080,50.0,0.0,0.0,4,0.5,1.0,0.9,ROOT
puk-puk,Gbaya,gba,Sound,Sound/Impact,0.5,0.4,0.5,0.35,0.75,0.35,2500.0,0.295,0.5,1.0,0.474,0.45,0.4,3,#808080,50.0,0.0,0.0,4,0.5,1.0,0.9,ROOT
ngau-ngau,Gbaya,gba,Sound,Voice/Creature,0.5,0.4,0.5,0.7,0.9,0.35,2500.0,0.295,0.5,1.0,0.474,0.45,0.4,3,#808080,50.0,0.0,0.0,4,0.5,1.0,0.9,ROOT
deng-deng,Gbaya,gba,State,Posture/Position,0.65,0.4,0.5,0.35,0.9,0.35,4000.0,0.487,0.5,1.0,0.474,0.45,0.4,3,#808080,50.0,0.0,0.0,4,0.5,1.0,0.9,ROOT
kor-kor,Gbaya,gba,State,Texture/Touch,0.5,0.4,0.5,0.7,0.75,0.35,2500.0,0.295,0.5,1.0,0.474,0.45,0.4,3,#808080,50.0,0.0,0.0,4,0.5,1.0,0.9,ROOT
zu-zu,Gbaya,gba,Motion,Dynamics/Motion,0.3,0.4,0.15,0.65,0.9,0.35,1300.0,0.141,0.5,1.0,0.474,0.15,0.15,2,#808080,50.0,0.0,0.0,4,0.5,1.0,0.9,ROOT
kpeee,Emai,ema,Color,Color/Purity,0.45,0.98,0.5,0.35,0.4,0.35,2800.0,0.333,0.05,0.6,0.263,0.8,0.85,4,#050505,5.0,0.0,0.0,2,0.5,0.0,0.5,ROOT
khai,Emai,ema,Color,Color/Purity,0.8,0.15,0.6,0.55,0.15,0.35,4000.0,0.487,0.95,0.25,0.079,0.45,0.4,3,#FFFFFF,95.0,0.0,0.0,2,0.5,0.0,0.5,ROOT
khai-khai,Emai,ema,Color,Color/Purity,0.8,0.15,0.5,0.55,0.9,0.35,4000.0,0.487,0.95,1.0,0.474,0.45,0.4,3,#FFFFFF,95.0,0.0,0.0,4,0.5,1.0,0.9,REDUP_2
khainci,Emai,ema,Abstract,Color/Purity,0.65,0.4,0.5,0.55,0.9,0.35,4000.0,0.487,0.5,1.0,0.474,0.45,0.4,3,#808080,50.0,0.0,0.0,4,0.5,1.0,0.9,DERIVATIVE
gbam,Emai,ema,Sound,Sound/Impact,0.5,0.98,0.6,0.35,0.3,0.15,1300.0,0.141,0.5,0.25,0.079,0.8,0.85,4,#808080,50.0,0.0,0.0,2,0.5,0.0,0.5,ROOT
gbam-gbam,Emai,ema,Sound,Sound/Impact,0.5,0.98,0.5,0.35,0.98,0.15,1300.0,0.141,0.5,1.0,0.474,0.8,0.85,4,#808080,50.0,0.0,0.0,4,0.5,1.0,0.9,REDUP_2
gbamnci,Emai,ema,Abstract,Sound/Impact,0.65,0.75,0.5,0.35,0.9,0.35,2800.0,0.333,0.5,1.0,0.474,0.8,0.85,4,#808080,50.0,0.0,0.0,4,0.5,1.0,0.9,DERIVATIVE
kpiti-kpiti,Emai,ema,Motion,Dynamics/Motion,0.65,0.75,0.5,0.35,0.75,0.35,2800.0,0.333,0.5,1.0,0.474,0.8,0.85,4,#808080,50.0,0.0,0.0,4,0.5,1.0,0.9,ROOT
vungbe,Emai,ema,State,Mass/Size,0.65,0.75,0.5,0.55,0.9,0.35,2800.0,0.333,0.5,1.0,0.474,0.8,0.85,4,#808080,50.0,0.0,0.0,4,0.5,1.0,0.9,ROOT
fii,Emai,ema,Motion,Speed/Rhythm,0.8,0.15,0.95,0.55,0.15,0.35,4000.0,0.487,0.5,0.25,0.079,0.8,0.4,3,#808080,50.0,0.0,0.0,1,0.5,0.0,0.5,ROOT
fii-fii,Emai,ema,Motion,Speed/Rhythm,0.8,0.15,0.85,0.55,0.9,0.35,4000.0,0.487,0.5,1.0,0.474,0.8,0.4,3,#808080,50.0,0.0,0.0,4,0.5,1.0,0.9,REDUP_2
fiinci,Emai,ema,Abstract,Speed/Rhythm,0.65,0.4,0.5,0.55,0.9,0.35,4000.0,0.487,0.5,1.0,0.474,0.45,0.4,3,#808080,50.0,0.0,0.0,4,0.5,1.0,0.9,DERIVATIVE
ghoo,Emai,ema,State,Silence/Quiet,0.3,0.4,0.25,0.1,0.3,0.35,1300.0,0.141,0.5,0.25,0.079,0.15,0.15,2,#808080,50.0,0.0,0.0,0,0.5,0.0,0.5,ROOT
ghoo-ghoo,Emai,ema,State,Silence/Quiet,0.3,0.4,0.15,0.1,0.9,0.35,1300.0,0.141,0.5,1.0,0.474,0.15,0.15,2,#808080,50.0,0.0,0.0,4,0.5,1.0,0.9,REDUP_2
ghoonci,Emai,ema,Abstract,Silence/Quiet,0.65,0.4,0.5,0.35,0.9,0.35,4000.0,0.487,0.5,1.0,0.474,0.45,0.4,3,#808080,50.0,0.0,0.0,4,0.5,1.0,0.9,DERIVATIVE
titi-titi,Emai,ema,Sound,Sound/Impact,0.65,0.4,0.5,0.35,0.75,0.35,4000.0,0.487,0.5,1.0,0.474,0.45,0.4,3,#808080,50.0,0.0,0.0,4,0.5,1.0,0.9,ROOT
kpaa,Emai,ema,State,Texture/Purity,0.5,0.75,0.6,0.7,0.15,0.35,1300.0,0.141,0.5,0.25,0.079,0.8,0.85,4,#808080,50.0,0.0,0.0,2,0.5,0.0,0.5,ROOT
kpaa-kpaa,Emai,ema,State,Texture/Purity,0.5,0.75,0.5,0.7,0.9,0.35,1300.0,0.141,0.5,1.0,0.474,0.8,0.85,4,#808080,50.0,0.0,0.0,4,0.5,1.0,0.9,REDUP_2
kpaanci,Emai,ema,Abstract,Texture/Purity,0.65,0.75,0.5,0.35,0.9,0.35,2800.0,0.333,0.5,1.0,0.474,0.8,0.85,4,#808080,50.0,0.0,0.0,4,0.5,1.0,0.9,DERIVATIVE
nyen-nyen,Emai,ema,Motion,Dynamics/Motion,0.65,0.4,0.5,0.35,0.9,0.35,4000.0,0.487,0.5,1.0,0.474,0.45,0.4,3,#808080,50.0,0.0,0.0,4,0.5,1.0,0.9,ROOT
kpe-kpe,Emai,ema,State,Density/Spatial,0.65,0.75,0.5,0.35,0.75,0.35,2800.0,0.333,0.5,1.0,0.474,0.8,0.85,4,#808080,50.0,0.0,0.0,4,0.5,1.0,0.9,ROOT
zaa,Emai,ema,Sound,Dynamics/Motion,0.5,0.7,0.6,0.55,0.15,0.35,2500.0,0.295,0.5,0.25,0.079,0.45,0.4,3,#808080,50.0,0.0,0.0,2,0.5,0.0,0.5,ROOT
zaa-zaa,Emai,ema,Sound,Dynamics/Motion,0.5,0.7,0.5,0.55,0.9,0.35,2500.0,0.295,0.5,1.0,0.474,0.45,0.4,3,#808080,50.0,0.0,0.0,4,0.5,1.0,0.9,REDUP_2
zaanci,Emai,ema,Abstract,Dynamics/Motion,0.65,0.4,0.5,0.55,0.9,0.35,4000.0,0.487,0.5,1.0,0.474,0.45,0.4,3,#808080,50.0,0.0,0.0,4,0.5,1.0,0.9,DERIVATIVE
yibx,Ewe,ee,Color,Color/Purity,0.45,0.7,0.6,0.35,0.15,0.35,2800.0,0.333,0.05,0.25,0.079,0.45,0.4,3,#050505,5.0,0.0,0.0,2,0.5,0.0,0.5,ROOT
yibx-yibx,Ewe,ee,Color,Color/Purity,0.45,0.7,0.5,0.35,0.9,0.35,2800.0,0.333,0.05,1.0,0.474,0.45,0.4,3,#050505,5.0,0.0,0.0,4,0.5,1.0,0.9,REDUP_2
yibxnci,Ewe,ee,Abstract,Color/Purity,0.65,0.4,0.5,0.35,0.9,0.35,4000.0,0.487,0.5,1.0,0.474,0.45,0.4,3,#808080,50.0,0.0,0.0,4,0.5,1.0,0.9,DERIVATIVE
zoŋ-zoŋ,Ewe,ee,Color,Color/Purity,0.5,0.4,0.5,0.55,0.75,0.35,2500.0,0.295,0.7,1.0,0.474,0.45,0.4,3,#DC143C,70.0,85.0,50.0,4,0.5,1.0,0.9,ROOT
kplakpla,Ewe,ee,Motion,Dynamics/Motion,0.5,0.75,0.5,0.35,0.75,0.35,1300.0,0.141,0.5,1.0,0.474,0.8,0.85,4,#808080,50.0,0.0,0.0,4,0.5,1.0,0.9,ROOT
bɔbɔbɔ,Ewe,ee,State,Texture/Touch,0.5,0.4,0.5,0.1,0.75,0.35,2500.0,0.295,0.5,1.0,0.474,0.8,0.15,2,#808080,50.0,0.0,0.0,4,0.5,1.0,0.9,ROOT
syasyasya,Ewe,ee,Sound,Texture/Touch,0.5,0.7,0.5,0.55,0.75,0.35,2500.0,0.295,0.5,1.0,0.474,0.45,0.4,3,#808080,50.0,0.0,0.0,4,0.5,1.0,0.9,ROOT
gliii,Ewe,ee,State,Posture/Position,0.65,0.7,0.5,0.35,0.4,0.15,4000.0,0.487,0.5,0.6,0.263,0.8,0.85,4,#808080,50.0,0.0,0.0,2,0.5,0.0,0.5,ROOT
dzẽe,Ewe,ee,Color,Color/Purity,0.65,0.4,0.6,0.55,0.15,0.35,4000.0,0.487,0.7,0.25,0.079,0.45,0.4,3,#DC143C,70.0,85.0,50.0,2,0.5,0.0,0.5,ROOT
dzẽe-dzẽe,Ewe,ee,Color,Color/Purity,0.65,0.4,0.5,0.55,0.9,0.35,4000.0,0.487,0.7,1.0,0.474,0.45,0.4,3,#DC143C,70.0,85.0,50.0,4,0.5,1.0,0.9,REDUP_2
dzẽenci,Ewe,ee,Abstract,Color/Purity,0.65,0.4,0.5,0.55,0.9,0.35,4000.0,0.487,0.5,1.0,0.474,0.45,0.4,3,#808080,50.0,0.0,0.0,4,0.5,1.0,0.9,DERIVATIVE
kpooo,Ewe,ee,State,Silence/Quiet,0.3,0.75,0.15,0.35,0.55,0.35,1300.0,0.141,0.5,0.6,0.263,0.5,0.6,3,#808080,50.0,0.0,0.0,0,0.5,0.0,0.5,ROOT
kpooo-kpooo,Ewe,ee,State,Silence/Quiet,0.3,0.75,0.15,0.35,0.9,0.35,1300.0,0.141,0.5,1.0,0.474,0.5,0.6,3,#808080,50.0,0.0,0.0,4,0.5,1.0,0.9,REDUP_2
kpooonci,Ewe,ee,Abstract,Silence/Quiet,0.65,0.75,0.5,0.35,0.9,0.35,2800.0,0.333,0.5,1.0,0.474,0.8,0.85,4,#808080,50.0,0.0,0.0,4,0.5,1.0,0.9,DERIVATIVE
tsatsatsa,Ewe,ee,Motion,Speed/Rhythm,0.65,0.15,0.85,0.55,0.75,0.35,4000.0,0.487,0.5,1.0,0.474,0.8,0.4,3,#808080,50.0,0.0,0.0,4,0.5,1.0,0.9,ROOT
feee,Ewe,ee,State,Mass/Weight,0.65,0.15,0.6,0.55,0.15,0.35,4000.0,0.487,0.8,0.25,0.079,0.45,0.4,3,#FFF8DC,80.0,0.0,30.0,2,0.5,0.0,0.5,ROOT
vuvu,Ewe,ee,Motion,Dynamics/Motion,0.5,0.4,0.6,0.55,0.15,0.35,2500.0,0.295,0.5,0.25,0.079,0.45,0.4,3,#808080,50.0,0.0,0.0,2,0.5,0.0,0.5,ROOT
vuvu-vuvu,Ewe,ee,Motion,Dynamics/Motion,0.5,0.4,0.5,0.55,0.9,0.35,2500.0,0.295,0.5,1.0,0.474,0.45,0.4,3,#808080,50.0,0.0,0.0,4,0.5,1.0,0.9,REDUP_2
vuvunci,Ewe,ee,Abstract,Dynamics/Motion,0.65,0.4,0.5,0.55,0.9,0.35,4000.0,0.487,0.5,1.0,0.474,0.45,0.4,3,#808080,50.0,0.0,0.0,4,0.5,1.0,0.9,DERIVATIVE
kpakpa,Ewe,ee,Sound,Sound/Impact,0.5,0.75,0.5,0.35,0.75,0.35,1300.0,0.141,0.5,1.0,0.474,0.8,0.85,4,#808080,50.0,0.0,0.0,4,0.5,1.0,0.9,ROOT
c'onc'on,Siwu,sib,State,Texture/Touch,0.5,0.4,0.5,0.35,0.9,0.65,2500.0,0.295,0.5,1.0,0.474,0.8,0.4,3,#808080,50.0,0.0,0.0,4,0.5,1.0,0.9,ROOT
ulakpulak,Siwu,sib,State,Posture/Position,0.5,0.75,0.5,0.35,0.75,0.35,1300.0,0.141,0.5,1.0,0.474,0.8,0.85,4,#808080,50.0,0.0,0.0,4,0.5,1.0,0.9,ROOT
colcol,Siwu,sib,Sound,Dynamics/Motion,0.5,0.4,0.5,0.1,0.75,0.35,2500.0,0.295,0.5,1.0,0.474,0.45,0.15,2,#808080,50.0,0.0,0.0,4,0.5,1.0,0.9,ROOT
kpɔrikpɔri,Siwu,sib,State,Texture/Touch,0.65,0.75,0.5,0.7,0.75,0.35,2800.0,0.333,0.5,1.0,0.474,0.8,0.85,4,#808080,50.0,0.0,0.0,4,0.5,1.0,0.9,ROOT
nyimi-nyimi,Siwu,sib,Motion,Dynamics/Motion,0.65,0.4,0.5,0.35,0.98,0.35,4000.0,0.487,0.5,1.0,0.474,0.45,0.4,3,#808080,50.0,0.0,0.0,4,0.5,1.0,0.9,ROOT
kpɔtɔkpɔtɔ,Siwu,sib,State,Texture/Touch,0.5,0.98,0.5,0.35,0.75,0.35,1300.0,0.141,0.5,1.0,0.474,0.8,0.85,4,#808080,50.0,0.0,0.0,4,0.5,1.0,0.9,ROOT
kpikpi,Siwu,sib,State,Density/Spatial,0.65,0.75,0.5,0.35,0.75,0.35,2800.0,0.333,0.5,1.0,0.474,0.8,0.85,4,#808080,50.0,0.0,0.0,4,0.5,1.0,0.9,ROOT
fɔfɔfɔ,Siwu,sib,State,Texture/Touch,0.5,0.15,0.5,0.55,0.75,0.35,2500.0,0.295,0.8,1.0,0.474,0.45,0.4,3,#FFF8DC,80.0,0.0,30.0,4,0.5,1.0,0.9,ROOT
kporo-kporo,Siwu,sib,Sound,Sound/Impact,0.5,0.75,0.5,0.7,0.75,0.35,1300.0,0.141,0.5,1.0,0.474,0.8,0.85,4,#808080,50.0,0.0,0.0,4,0.5,1.0,0.9,ROOT
dzidzidzi,Siwu,sib,State,Psychological/Emotion,0.65,0.4,0.5,0.55,0.75,0.35,4000.0,0.487,0.5,1.0,0.474,0.45,0.4,3,#808080,50.0,0.0,0.0,4,0.5,1.0,0.9,ROOT
sɛsɛsɛ,Siwu,sib,State,Texture/Purity,0.5,0.4,0.5,0.3,0.75,0.35,2500.0,0.295,0.5,1.0,0.474,0.45,0.15,2,#808080,50.0,0.0,0.0,4,0.5,1.0,0.9,ROOT
kpukpu,Siwu,sib,State,Mass/Size,0.5,0.75,0.5,0.35,0.75,0.35,1300.0,0.141,0.5,1.0,0.474,0.8,0.85,4,#808080,50.0,0.0,0.0,4,0.5,1.0,0.9,ROOT
gwada,Shona,sn,Motion,Posture/Position,0.65,0.15,0.85,0.35,0.4,0.35,4000.0,0.487,0.5,0.6,0.263,0.8,0.4,3,#808080,50.0,0.0,0.0,1,0.5,0.0,0.5,ROOT
gwada-gwada,Shona,sn,Motion,Posture/Position,0.65,0.15,0.85,0.35,0.9,0.35,4000.0,0.487,0.5,1.0,0.474,0.8,0.4,3,#808080,50.0,0.0,0.0,4,0.5,1.0,0.9,REDUP_2
gwadaka,Shona,sn,Verb/State,Posture/Position,0.5,0.4,0.5,0.35,0.75,0.35,2500.0,0.295,0.5,1.0,0.474,0.45,0.4,3,#808080,50.0,0.0,0.0,4,0.5,1.0,0.9,STATIVE_VERB
dzveng,Shona,sn,Motion,Dynamics/Motion,0.8,0.15,0.85,0.55,0.9,0.35,4000.0,0.487,0.5,1.0,0.474,0.8,0.4,3,#808080,50.0,0.0,0.0,4,0.5,1.0,0.9,ROOT
nyik,Shona,sn,Motion,Texture/Touch,0.65,0.15,0.6,0.35,0.3,0.35,4000.0,0.487,0.5,0.25,0.079,0.45,0.4,3,#808080,50.0,0.0,0.0,2,0.5,0.0,0.5,ROOT
nyik-nyik,Shona,sn,Motion,Texture/Touch,0.65,0.15,0.5,0.35,0.98,0.35,4000.0,0.487,0.5,1.0,0.474,0.45,0.4,3,#808080,50.0,0.0,0.0,4,0.5,1.0,0.9,REDUP_2
nyikka,Shona,sn,Verb/State,Texture/Touch,0.65,0.4,0.5,0.35,0.9,0.35,4000.0,0.487,0.5,1.0,0.474,0.45,0.4,3,#808080,50.0,0.0,0.0,4,0.5,1.0,0.9,STATIVE_VERB
pata-pata,Shona,sn,Sound,Speed/Rhythm,0.65,0.15,0.85,0.35,0.75,0.35,4000.0,0.487,0.5,1.0,0.474,0.8,0.4,3,#808080,50.0,0.0,0.0,4,0.5,1.0,0.9,ROOT
pindilili,Shona,sn,Motion,Dynamics/Motion,0.45,0.7,0.5,0.35,0.9,0.35,2800.0,0.333,0.05,1.0,0.474,0.45,0.4,3,#050505,5.0,0.0,0.0,4,0.5,1.0,0.9,ROOT
tsvukuru,Shona,sn,Color,Color/Purity,0.5,0.4,0.5,0.55,0.75,0.35,2500.0,0.295,0.7,1.0,0.474,0.45,0.4,3,#DC143C,70.0,85.0,50.0,4,0.5,1.0,0.9,ROOT
mbee,Shona,sn,Color,Color/Purity,0.8,0.15,0.6,0.1,0.3,0.35,4000.0,0.487,0.95,0.25,0.079,0.45,0.15,2,#FFFFFF,95.0,0.0,0.0,2,0.5,0.0,0.5,ROOT
zii,Shona,sn,State,Silence/Quiet,0.45,0.4,0.25,0.55,0.3,0.35,2800.0,0.333,0.5,0.25,0.079,0.15,0.15,2,#808080,50.0,0.0,0.0,0,0.5,0.0,0.5,ROOT
zii-zii,Shona,sn,State,Silence/Quiet,0.45,0.4,0.15,0.55,0.9,0.35,2800.0,0.333,0.5,1.0,0.474,0.15,0.15,2,#808080,50.0,0.0,0.0,4,0.5,1.0,0.9,REDUP_2
ziika,Shona,sn,Verb/State,Silence/Quiet,0.65,0.4,0.5,0.55,0.4,0.35,4000.0,0.487,0.5,0.6,0.263,0.45,0.4,3,#808080,50.0,0.0,0.0,2,0.5,0.0,0.5,STATIVE_VERB
ribi,Shona,sn,Sound,Sound/Impact,0.65,0.7,0.6,0.35,0.15,0.35,4000.0,0.487,0.5,0.25,0.079,0.45,0.4,3,#808080,50.0,0.0,0.0,2,0.5,0.0,0.5,ROOT
ribi-ribi,Shona,sn,Sound,Sound/Impact,0.65,0.7,0.5,0.35,0.9,0.35,4000.0,0.487,0.5,1.0,0.474,0.45,0.4,3,#808080,50.0,0.0,0.0,4,0.5,1.0,0.9,REDUP_2
ribika,Shona,sn,Verb/State,Sound/Impact,0.65,0.4,0.5,0.35,0.75,0.35,4000.0,0.487,0.5,1.0,0.474,0.45,0.4,3,#808080,50.0,0.0,0.0,4,0.5,1.0,0.9,STATIVE_VERB
chachacha,Shona,sn,Sound,Dynamics/Motion,0.85,0.4,0.5,0.35,0.75,0.65,3700.0,0.449,0.5,1.0,0.474,0.45,0.85,4,#808080,50.0,0.0,0.0,4,0.5,1.0,0.9,ROOT
pwa,Shona,sn,Sound,Sound/Impact,0.5,0.4,0.6,0.35,0.15,0.35,2500.0,0.295,0.5,0.25,0.079,0.45,0.4,3,#808080,50.0,0.0,0.0,2,0.5,0.0,0.5,ROOT
pwa-pwa,Shona,sn,Sound,Sound/Impact,0.5,0.4,0.5,0.35,0.9,0.35,2500.0,0.295,0.5,1.0,0.474,0.45,0.4,3,#808080,50.0,0.0,0.0,4,0.5,1.0,0.9,REDUP_2
pwaka,Shona,sn,Verb/State,Sound/Impact,0.5,0.4,0.5,0.35,0.4,0.35,2500.0,0.295,0.5,0.6,0.263,0.45,0.4,3,#808080,50.0,0.0,0.0,2,0.5,0.0,0.5,STATIVE_VERB
kobvo,Shona,sn,State,Mass/Size,0.5,0.7,0.5,0.55,0.4,0.35,2500.0,0.295,0.5,0.6,0.263,0.8,0.4,3,#808080,50.0,0.0,0.0,2,0.5,0.0,0.5,ROOT
kobvo-kobvo,Shona,sn,State,Mass/Size,0.5,0.7,0.5,0.55,0.9,0.35,2500.0,0.295,0.5,1.0,0.474,0.8,0.4,3,#808080,50.0,0.0,0.0,4,0.5,1.0,0.9,REDUP_2
kobvoka,Shona,sn,Verb/State,Mass/Size,0.5,0.4,0.5,0.55,0.75,0.35,2500.0,0.295,0.5,1.0,0.474,0.45,0.4,3,#808080,50.0,0.0,0.0,4,0.5,1.0,0.9,STATIVE_VERB
timutimutiku,Yoruba,yo,State,Mass/Size,0.65,0.4,0.5,0.35,0.9,0.35,4000.0,0.487,0.5,1.0,0.474,0.45,0.4,3,#808080,50.0,0.0,0.0,4,0.5,1.0,0.9,ROOT
bambariba,Yoruba,yo,State,Mass/Size,0.65,0.4,0.5,0.35,0.9,0.35,4000.0,0.487,0.5,1.0,0.474,0.45,0.4,3,#808080,50.0,0.0,0.0,4,0.5,1.0,0.9,ROOT
yomuyomu,Yoruba,yo,State,Taste/Texture,0.5,0.4,0.5,0.1,0.9,0.35,2500.0,0.295,0.5,1.0,0.474,0.45,0.15,2,#808080,50.0,0.0,0.0,4,0.5,1.0,0.9,ROOT
fian-fian,Yoruba,yo,Color,Color/Purity,0.65,0.15,0.5,0.55,0.9,0.35,4000.0,0.487,0.8,1.0,0.474,0.45,0.4,3,#FFF8DC,80.0,0.0,30.0,4,0.5,1.0,0.9,ROOT
