word,language,lang_code,category,domain,meaning_en,pronunciation,morph_type,x1,x2,x3,x4,x5,x6,x7_hz,x7_norm,x8,x9_re,x9_norm,x10,x11,x11_ord,x12,L,a,b,rationale,flags,x13_accent,x14_contour,x15_meter,x16_regularity
kwas,Hausa,ha,Sound,Sound/Impact,Crunching or cracking a dry bone/stick,kwas,ROOT,0.65,0.15,0.95,0.9,0.15,0.35,4000.0,0.487,0.5,0.25,0.079,0.8,0.4,3,#808080,50.0,0.0,0.0,"Fricative sound mapped to Mass x2=0.15, Hardness x11=0.4, and Luminance x8=0.5.",COMPLETED_AFRICA_A16,1,0.5,0.0,0.5
kwas-kwas,Hausa,ha,Sound,Sound/Impact,Intensified or continuous aspect of kwas: crunching or cracking a dry bone/stick,kwas-kwas,REDUP_2,0.65,0.15,0.85,0.9,0.9,0.35,4000.0,0.487,0.5,1.0,0.474,0.8,0.4,3,#808080,50.0,0.0,0.0,"Fricative sound, Reduplicated form mapped to Mass x2=0.15, Hardness x11=0.4, and Luminance x8=0.5.",COMPLETED_AFRICA_A16,4,0.5,1.0,0.9
kwasnci,Hausa,ha,Abstract,Sound/Impact,Abstract state/quality associated with kwas,kwas-nci,DERIVATIVE,0.65,0.4,0.5,0.55,0.9,0.35,4000.0,0.487,0.5,1.0,0.474,0.45,0.4,3,#808080,50.0,0.0,0.0,"Fricative sound, Reduplicated form mapped to Mass x2=0.4, Hardness x11=0.4, and Luminance x8=0.5.",COMPLETED_AFRICA_A16,4,0.5,1.0,0.9
bam,Hausa,ha,Sound,Sound/Impact,Loud thud or heavy door slam,bam,ROOT,0.5,0.7,0.6,0.35,0.3,0.35,2500.0,0.295,0.5,0.25,0.079,0.45,0.4,3,#808080,50.0,0.0,0.0,"Standard phonetic root mapped to Mass x2=0.7, Hardness x11=0.4, and Luminance x8=0.5.",COMPLETED_AFRICA_A16,2,0.5,0.0,0.5
bam-bam,Hausa,ha,Sound,Sound/Impact,Intensified or continuous aspect of bam: loud thud or heavy door slam,bam-bam,REDUP_2,0.5,0.7,0.5,0.35,0.98,0.35,2500.0,0.295,0.5,1.0,0.474,0.45,0.4,3,#808080,50.0,0.0,0.0,"Reduplicated form mapped to Mass x2=0.7, Hardness x11=0.4, and Luminance x8=0.5.",COMPLETED_AFRICA_A16,4,0.5,1.0,0.9
bamnci,Hausa,ha,Abstract,Sound/Impact,Abstract state/quality associated with bam,bam-nci,DERIVATIVE,0.65,0.4,0.5,0.35,0.9,0.35,4000.0,0.487,0.5,1.0,0.474,0.45,0.4,3,#808080,50.0,0.0,0.0,"Reduplicated form mapped to Mass x2=0.4, Hardness x11=0.4, and Luminance x8=0.5.",COMPLETED_AFRICA_A16,4,0.5,1.0,0.9
tumm,Hausa,ha,State,Mass/Weight,Heavily overflowing or bursting full,tum-m,ROOT,0.65,0.15,0.95,0.35,0.3,0.35,4000.0,0.487,0.5,0.25,0.079,0.8,0.4,3,#808080,50.0,0.0,0.0,"Standard phonetic root mapped to Mass x2=0.15, Hardness x11=0.4, and Luminance x8=0.5.",COMPLETED_AFRICA_A16,1,0.5,0.0,0.5
tumm-tumm,Hausa,ha,State,Mass/Weight,Intensified or continuous aspect of tumm: heavily overflowing or bursting full,tum-m-tum-m,REDUP_2,0.65,0.15,0.85,0.35,0.98,0.35,4000.0,0.487,0.5,1.0,0.474,0.8,0.4,3,#808080,50.0,0.0,0.0,"Reduplicated form mapped to Mass x2=0.15, Hardness x11=0.4, and Luminance x8=0.5.",COMPLETED_AFRICA_A16,4,0.5,1.0,0.9
tummnci,Hausa,ha,Abstract,Mass/Weight,Abstract state/quality associated with tumm,tum-m-nci,DERIVATIVE,0.65,0.4,0.5,0.35,0.9,0.35,4000.0,0.487,0.5,1.0,0.474,0.45,0.4,3,#808080,50.0,0.0,0.0,"Reduplicated form mapped to Mass x2=0.4, Hardness x11=0.4, and Luminance x8=0.5.",COMPLETED_AFRICA_A16,4,0.5,1.0,0.9
murus,Hausa,ha,State,State/Totality,Completely and utterly consumed or finished,mu-rus,ROOT,0.5,0.4,0.5,0.55,0.55,0.35,2500.0,0.295,0.5,0.6,0.263,0.45,0.4,3,#808080,50.0,0.0,0.0,"Fricative sound mapped to Mass x2=0.4, Hardness x11=0.4, and Luminance x8=0.5.",COMPLETED_AFRICA_A16,2,0.5,0.0,0.5
murus-murus,Hausa,ha,State,State/Totality,Intensified or continuous aspect of murus: completely and utterly consumed or finished,mu-rus-mu-rus,REDUP_2,0.5,0.4,0.5,0.55,0.98,0.35,2500.0,0.295,0.5,1.0,0.474,0.45,0.4,3,#808080,50.0,0.0,0.0,"Fricative sound, Reduplicated form mapped to Mass x2=0.4, Hardness x11=0.4, and Luminance x8=0.5.",COMPLETED_AFRICA_A16,4,0.5,1.0,0.9
murusnci,Hausa,ha,Abstract,State/Totality,Abstract state/quality associated with murus,mu-rus-nci,DERIVATIVE,0.65,0.4,0.5,0.55,0.9,0.35,4000.0,0.487,0.5,1.0,0.474,0.45,0.4,3,#808080,50.0,0.0,0.0,"Fricative sound, Reduplicated form mapped to Mass x2=0.4, Hardness x11=0.4, and Luminance x8=0.5.",COMPLETED_AFRICA_A16,4,0.5,1.0,0.9
farafara,Hausa,ha,Motion,Dynamics/Motion,Fluttering or flapping rapidly like wings,fa-ra-fa-ra,ROOT,0.65,0.15,0.85,0.55,0.75,0.35,4000.0,0.487,0.5,1.0,0.474,0.8,0.4,3,#808080,50.0,0.0,0.0,"Fricative sound, Reduplicated form mapped to Mass x2=0.15, Hardness x11=0.4, and Luminance x8=0.5.",COMPLETED_AFRICA_A16,4,0.5,1.0,0.9
babbaka,Hausa,ha,State,Temperature,"Scorching, intense heat radiating from fire",bab-ba-ka,ROOT,0.5,0.4,0.5,0.35,0.75,0.35,2500.0,0.295,0.5,1.0,0.474,0.45,0.4,3,#808080,50.0,0.0,0.0,"Reduplicated form mapped to Mass x2=0.4, Hardness x11=0.4, and Luminance x8=0.5.",COMPLETED_AFRICA_A16,4,0.5,1.0,0.9
tas,Hausa,ha,State,Texture/Purity,"Completely pure, clean without residue",tas,ROOT,0.5,0.4,0.6,0.3,0.15,0.35,2500.0,0.295,0.5,0.25,0.079,0.45,0.15,2,#808080,50.0,0.0,0.0,"Fricative sound mapped to Mass x2=0.4, Hardness x11=0.15, and Luminance x8=0.5.",COMPLETED_AFRICA_A16,2,0.5,0.0,0.5
tas-tas,Hausa,ha,State,Texture/Purity,"Intensified or continuous aspect of tas: completely pure, clean without residue",tas-tas,REDUP_2,0.5,0.4,0.5,0.3,0.9,0.35,2500.0,0.295,0.5,1.0,0.474,0.45,0.15,2,#808080,50.0,0.0,0.0,"Fricative sound, Reduplicated form mapped to Mass x2=0.4, Hardness x11=0.15, and Luminance x8=0.5.",COMPLETED_AFRICA_A16,4,0.5,1.0,0.9
tasnci,Hausa,ha,Abstract,Texture/Purity,Abstract state/quality associated with tas,tas-nci,DERIVATIVE,0.65,0.4,0.5,0.55,0.9,0.35,4000.0,0.487,0.5,1.0,0.474,0.45,0.4,3,#808080,50.0,0.0,0.0,"Fricative sound, Reduplicated form mapped to Mass x2=0.4, Hardness x11=0.4, and Luminance x8=0.5.",COMPLETED_AFRICA_A16,4,0.5,1.0,0.9
dum,Hausa,ha,State,Silence/Quiet,Deep subterranean boom or muffled roar,dum,ROOT,0.5,0.4,0.6,0.35,0.3,0.35,2500.0,0.295,0.5,0.25,0.079,0.45,0.4,3,#808080,50.0,0.0,0.0,"Standard phonetic root mapped to Mass x2=0.4, Hardness x11=0.4, and Luminance x8=0.5.",COMPLETED_AFRICA_A16,2,0.5,0.0,0.5
dum-dum,Hausa,ha,State,Silence/Quiet,Intensified or continuous aspect of dum: deep subterranean boom or muffled roar,dum-dum,REDUP_2,0.5,0.4,0.5,0.35,0.98,0.35,2500.0,0.295,0.5,1.0,0.474,0.45,0.4,3,#808080,50.0,0.0,0.0,"Reduplicated form mapped to Mass x2=0.4, Hardness x11=0.4, and Luminance x8=0.5.",COMPLETED_AFRICA_A16,4,0.5,1.0,0.9
dumnci,Hausa,ha,Abstract,Silence/Quiet,Abstract state/quality associated with dum,dum-nci,DERIVATIVE,0.65,0.4,0.5,0.35,0.9,0.35,4000.0,0.487,0.5,1.0,0.474,0.45,0.4,3,#808080,50.0,0.0,0.0,"Reduplicated form mapped to Mass x2=0.4, Hardness x11=0.4, and Luminance x8=0.5.",COMPLETED_AFRICA_A16,4,0.5,1.0,0.9
kats,Hausa,ha,Sound,Sound/Impact,Snap of a taut string or small twig,kats,ROOT,0.65,0.45,0.95,0.55,0.15,0.15,4000.0,0.487,0.5,0.25,0.079,0.8,0.85,4,#808080,50.0,0.0,0.0,"Fricative sound mapped to Mass x2=0.45, Hardness x11=0.85, and Luminance x8=0.5.",COMPLETED_AFRICA_A16,1,0.5,0.0,0.5
kats-kats,Hausa,ha,Sound,Sound/Impact,Intensified or continuous aspect of kats: snap of a taut string or small twig,kats-kats,REDUP_2,0.65,0.45,0.85,0.55,0.9,0.15,4000.0,0.487,0.5,1.0,0.474,0.8,0.85,4,#808080,50.0,0.0,0.0,"Fricative sound, Reduplicated form mapped to Mass x2=0.45, Hardness x11=0.85, and Luminance x8=0.5.",COMPLETED_AFRICA_A16,4,0.5,1.0,0.9
katsnci,Hausa,ha,Abstract,Sound/Impact,Abstract state/quality associated with kats,kats-nci,DERIVATIVE,0.65,0.4,0.5,0.55,0.9,0.35,4000.0,0.487,0.5,1.0,0.474,0.45,0.4,3,#808080,50.0,0.0,0.0,"Fricative sound, Reduplicated form mapped to Mass x2=0.4, Hardness x11=0.4, and Luminance x8=0.5.",COMPLETED_AFRICA_A16,4,0.5,1.0,0.9
tshu,Zulu,zu,Color,Color/Purity,Pitch black; deep impenetrable darkness,tshu,ROOT,0.3,0.7,0.6,0.55,0.15,0.35,1300.0,0.141,0.05,0.25,0.079,0.45,0.4,3,#050505,5.0,0.0,0.0,"Fricative sound mapped to Mass x2=0.7, Hardness x11=0.4, and Luminance x8=0.05.",COMPLETED_AFRICA_A16,2,0.5,0.0,0.5
tshu-tshu,Zulu,zu,Color,Color/Purity,Intensified or continuous aspect of tshu: pitch black; deep impenetrable darkness,tshu-tshu,REDUP_2,0.3,0.7,0.5,0.55,0.9,0.35,1300.0,0.141,0.05,1.0,0.474,0.45,0.4,3,#050505,5.0,0.0,0.0,"Fricative sound, Reduplicated form mapped to Mass x2=0.7, Hardness x11=0.4, and Luminance x8=0.05.",COMPLETED_AFRICA_A16,4,0.5,1.0,0.9
tshuka,Zulu,zu,Verb/State,Color/Purity,Stative verb derived from ideophone root tshu,tshu-ka,STATIVE_VERB,0.5,0.4,0.5,0.55,0.75,0.35,2500.0,0.295,0.5,1.0,0.474,0.45,0.4,3,#808080,50.0,0.0,0.0,"Fricative sound, Reduplicated form mapped to Mass x2=0.4, Hardness x11=0.4, and Luminance x8=0.5.",COMPLETED_AFRICA_A16,4,0.5,1.0,0.9
gebhu,Zulu,zu,Color,Color/Purity,"Fiery, blazing crimson red",ge-bhu,ROOT,0.65,0.4,0.5,0.35,0.4,0.35,4000.0,0.487,0.7,0.6,0.263,0.45,0.4,3,#DC143C,70.0,85.0,50.0,"Standard phonetic root mapped to Mass x2=0.4, Hardness x11=0.4, and Luminance x8=0.7.",COMPLETED_AFRICA_A16,2,0.5,0.0,0.5
gebhu-gebhu,Zulu,zu,Color,Color/Purity,"Intensified or continuous aspect of gebhu: fiery, blazing crimson red",ge-bhu-ge-bhu,REDUP_2,0.65,0.4,0.5,0.35,0.9,0.35,4000.0,0.487,0.7,1.0,0.474,0.45,0.4,3,#DC143C,70.0,85.0,50.0,"Reduplicated form mapped to Mass x2=0.4, Hardness x11=0.4, and Luminance x8=0.7.",COMPLETED_AFRICA_A16,4,0.5,1.0,0.9
gebhuka,Zulu,zu,Verb/State,Color/Purity,Stative verb derived from ideophone root gebhu,ge-bhu-ka,STATIVE_VERB,0.65,0.4,0.5,0.35,0.75,0.35,4000.0,0.487,0.5,1.0,0.474,0.45,0.4,3,#808080,50.0,0.0,0.0,"Reduplicated form mapped to Mass x2=0.4, Hardness x11=0.4, and Luminance x8=0.5.",COMPLETED_AFRICA_A16,4,0.5,1.0,0.9
nce,Zulu,zu,Color,Color/Purity,"Pure, immaculate white; dazzling brightness",n-ce,ROOT,0.98,0.15,0.6,0.35,0.3,0.65,5200.0,0.641,0.95,0.25,0.079,0.45,0.85,4,#FFFFFF,95.0,0.0,0.0,"Click consonant mapped to Mass x2=0.15, Hardness x11=0.85, and Luminance x8=0.95.",COMPLETED_AFRICA_A16,2,0.5,0.0,0.5
nce-nce,Zulu,zu,Color,Color/Purity,"Intensified or continuous aspect of nce: pure, immaculate white; dazzling brightness",n-ce-n-ce,REDUP_2,0.98,0.15,0.5,0.35,0.98,0.65,5200.0,0.641,0.95,1.0,0.474,0.45,0.85,4,#FFFFFF,95.0,0.0,0.0,"Click consonant, Reduplicated form mapped to Mass x2=0.15, Hardness x11=0.85, and Luminance x8=0.95.",COMPLETED_AFRICA_A16,4,0.5,1.0,0.9
nceka,Zulu,zu,Verb/State,Color/Purity,Stative verb derived from ideophone root nce,n-ce-ka,STATIVE_VERB,0.98,0.4,0.5,0.35,0.55,0.65,5200.0,0.641,0.5,0.6,0.263,0.45,0.85,4,#808080,50.0,0.0,0.0,"Click consonant mapped to Mass x2=0.4, Hardness x11=0.85, and Luminance x8=0.5.",COMPLETED_AFRICA_A16,2,0.5,0.0,0.5
tshoko,Zulu,zu,Color,Color/Purity,"Vivid, intense green or sky blue",tsho-ko,ROOT,0.5,0.4,0.5,0.55,0.75,0.35,2500.0,0.295,0.5,1.0,0.474,0.45,0.4,3,#808080,50.0,0.0,0.0,"Fricative sound, Reduplicated form mapped to Mass x2=0.4, Hardness x11=0.4, and Luminance x8=0.5.",COMPLETED_AFRICA_A16,4,0.5,1.0,0.9
zwakaha,Zulu,zu,State,Psychological/Sensory,Sudden clear realization or sensory perception,zwa-ka-ha,ROOT,0.65,0.15,0.85,0.55,0.75,0.35,4000.0,0.487,0.5,1.0,0.474,0.8,0.4,3,#808080,50.0,0.0,0.0,"Fricative sound, Reduplicated form mapped to Mass x2=0.15, Hardness x11=0.4, and Luminance x8=0.5.",COMPLETED_AFRICA_A16,4,0.5,1.0,0.9
du,Zulu,zu,State,Silence/Quiet,Complete stillness and quietness of a crowd or village,du,ROOT,0.3,0.4,0.25,0.1,0.3,0.35,1300.0,0.141,0.5,0.25,0.079,0.15,0.15,2,#808080,50.0,0.0,0.0,"Standard phonetic root mapped to Mass x2=0.4, Hardness x11=0.15, and Luminance x8=0.5.",COMPLETED_AFRICA_A16,0,0.5,0.0,0.5
du-du,Zulu,zu,State,Silence/Quiet,Intensified or continuous aspect of du: complete stillness and quietness of a crowd or village,du-du,REDUP_2,0.3,0.4,0.15,0.1,0.9,0.35,1300.0,0.141,0.5,1.0,0.474,0.15,0.15,2,#808080,50.0,0.0,0.0,"Reduplicated form mapped to Mass x2=0.4, Hardness x11=0.15, and Luminance x8=0.5.",COMPLETED_AFRICA_A16,4,0.5,1.0,0.9
duka,Zulu,zu,Verb/State,Silence/Quiet,Stative verb derived from ideophone root du,du-ka,STATIVE_VERB,0.5,0.4,0.5,0.35,0.4,0.35,2500.0,0.295,0.5,0.25,0.079,0.45,0.4,3,#808080,50.0,0.0,0.0,"Standard phonetic root mapped to Mass x2=0.4, Hardness x11=0.4, and Luminance x8=0.5.",COMPLETED_AFRICA_A16,2,0.5,0.0,0.5
bhuxe,Zulu,zu,Motion,Dynamics/Motion,Sticking or plunging a spear firmly into ground/target,bhu-xe,ROOT,0.98,0.4,0.5,0.35,0.4,0.65,5200.0,0.641,0.5,0.6,0.263,0.45,0.85,4,#808080,50.0,0.0,0.0,"Click consonant mapped to Mass x2=0.4, Hardness x11=0.85, and Luminance x8=0.5.",COMPLETED_AFRICA_A16,2,0.5,0.0,0.5
bhuxe-bhuxe,Zulu,zu,Motion,Dynamics/Motion,Intensified or continuous aspect of bhuxe: sticking or plunging a spear firmly into ground/target,bhu-xe-bhu-xe,REDUP_2,0.98,0.4,0.5,0.35,0.9,0.65,5200.0,0.641,0.5,1.0,0.474,0.45,0.85,4,#808080,50.0,0.0,0.0,"Click consonant, Reduplicated form mapped to Mass x2=0.4, Hardness x11=0.85, and Luminance x8=0.5.",COMPLETED_AFRICA_A16,4,0.5,1.0,0.9
bhuxeka,Zulu,zu,Verb/State,Dynamics/Motion,Stative verb derived from ideophone root bhuxe,bhu-xe-ka,STATIVE_VERB,0.98,0.4,0.5,0.35,0.75,0.65,5200.0,0.641,0.5,1.0,0.474,0.45,0.85,4,#808080,50.0,0.0,0.0,"Click consonant, Reduplicated form mapped to Mass x2=0.4, Hardness x11=0.85, and Luminance x8=0.5.",COMPLETED_AFRICA_A16,4,0.5,1.0,0.9
gwada,Zulu,zu,Motion,Posture/Position,Dropping down abruptly to kneel on the ground,gwa-da,ROOT,0.5,0.4,0.5,0.35,0.4,0.35,2500.0,0.295,0.5,0.6,0.263,0.45,0.4,3,#808080,50.0,0.0,0.0,"Standard phonetic root mapped to Mass x2=0.4, Hardness x11=0.4, and Luminance x8=0.5.",COMPLETED_AFRICA_A16,2,0.5,0.0,0.5
gwada-gwada,Zulu,zu,Motion,Posture/Position,Intensified or continuous aspect of gwada: dropping down abruptly to kneel on the ground,gwa-da-gwa-da,REDUP_2,0.5,0.4,0.5,0.35,0.9,0.35,2500.0,0.295,0.5,1.0,0.474,0.45,0.4,3,#808080,50.0,0.0,0.0,"Reduplicated form mapped to Mass x2=0.4, Hardness x11=0.4, and Luminance x8=0.5.",COMPLETED_AFRICA_A16,4,0.5,1.0,0.9
gwadaka,Zulu,zu,Verb/State,Posture/Position,Stative verb derived from ideophone root gwada,gwa-da-ka,STATIVE_VERB,0.5,0.4,0.5,0.35,0.75,0.35,2500.0,0.295,0.5,1.0,0.474,0.45,0.4,3,#808080,50.0,0.0,0.0,"Reduplicated form mapped to Mass x2=0.4, Hardness x11=0.4, and Luminance x8=0.5.",COMPLETED_AFRICA_A16,4,0.5,1.0,0.9
khahlamba,Zulu,zu,State,Texture/Touch,"Rough, jagged, precipitous mountain wall",kha-hlam-ba,ROOT,0.5,0.4,0.5,0.9,0.9,0.35,2500.0,0.295,0.5,1.0,0.474,0.45,0.4,3,#808080,50.0,0.0,0.0,"Fricative sound, Reduplicated form mapped to Mass x2=0.4, Hardness x11=0.4, and Luminance x8=0.5.",COMPLETED_AFRICA_A16,4,0.5,1.0,0.9
mbo,Zulu,zu,State,Density/Spatial,Covering over completely; overwhelming overlay,mbo,ROOT,0.5,0.4,0.6,0.35,0.3,0.35,2500.0,0.295,0.5,0.25,0.079,0.45,0.4,3,#808080,50.0,0.0,0.0,"Standard phonetic root mapped to Mass x2=0.4, Hardness x11=0.4, and Luminance x8=0.5.",COMPLETED_AFRICA_A16,2,0.5,0.0,0.5
mbo-mbo,Zulu,zu,State,Density/Spatial,Intensified or continuous aspect of mbo: covering over completely; overwhelming overlay,mbo-mbo,REDUP_2,0.5,0.4,0.5,0.35,0.98,0.35,2500.0,0.295,0.5,1.0,0.474,0.45,0.4,3,#808080,50.0,0.0,0.0,"Reduplicated form mapped to Mass x2=0.4, Hardness x11=0.4, and Luminance x8=0.5.",COMPLETED_AFRICA_A16,4,0.5,1.0,0.9
mboka,Zulu,zu,Verb/State,Density/Spatial,Stative verb derived from ideophone root mbo,mbo-ka,STATIVE_VERB,0.5,0.4,0.5,0.35,0.55,0.35,2500.0,0.295,0.5,0.6,0.263,0.45,0.4,3,#808080,50.0,0.0,0.0,"Standard phonetic root mapped to Mass x2=0.4, Hardness x11=0.4, and Luminance x8=0.5.",COMPLETED_AFRICA_A16,2,0.5,0.0,0.5
phu,Zulu,zu,State,Smell/Odor,Sudden puff of dust or strong scent/smoke,phu,ROOT,0.65,0.15,0.95,0.35,0.15,0.35,4000.0,0.487,0.5,0.25,0.079,0.8,0.4,3,#808080,50.0,0.0,0.0,"Standard phonetic root mapped to Mass x2=0.15, Hardness x11=0.4, and Luminance x8=0.5.",COMPLETED_AFRICA_A16,1,0.5,0.0,0.5
phu-phu,Zulu,zu,State,Smell/Odor,Intensified or continuous aspect of phu: sudden puff of dust or strong scent/smoke,phu-phu,REDUP_2,0.65,0.15,0.85,0.35,0.9,0.35,4000.0,0.487,0.5,1.0,0.474,0.8,0.4,3,#808080,50.0,0.0,0.0,"Reduplicated form mapped to Mass x2=0.15, Hardness x11=0.4, and Luminance x8=0.5.",COMPLETED_AFRICA_A16,4,0.5,1.0,0.9
phuka,Zulu,zu,Verb/State,Smell/Odor,Stative verb derived from ideophone root phu,phu-ka,STATIVE_VERB,0.5,0.4,0.5,0.35,0.4,0.35,2500.0,0.295,0.5,0.6,0.263,0.45,0.4,3,#808080,50.0,0.0,0.0,"Standard phonetic root mapped to Mass x2=0.4, Hardness x11=0.4, and Luminance x8=0.5.",COMPLETED_AFRICA_A16,2,0.5,0.0,0.5
klwa,Zulu,zu,Sound,Sound/Impact,Screeching or sharp ripping sound of fabric,klwa,ROOT,0.5,0.4,0.6,0.35,0.15,0.35,2500.0,0.295,0.5,0.25,0.079,0.45,0.4,3,#808080,50.0,0.0,0.0,"Standard phonetic root mapped to Mass x2=0.4, Hardness x11=0.4, and Luminance x8=0.5.",COMPLETED_AFRICA_A16,2,0.5,0.0,0.5
klwa-klwa,Zulu,zu,Sound,Sound/Impact,Intensified or continuous aspect of klwa: screeching or sharp ripping sound of fabric,klwa-klwa,REDUP_2,0.5,0.4,0.5,0.35,0.9,0.35,2500.0,0.295,0.5,1.0,0.474,0.45,0.4,3,#808080,50.0,0.0,0.0,"Reduplicated form mapped to Mass x2=0.4, Hardness x11=0.4, and Luminance x8=0.5.",COMPLETED_AFRICA_A16,4,0.5,1.0,0.9
klwaka,Zulu,zu,Verb/State,Sound/Impact,Stative verb derived from ideophone root klwa,klwa-ka,STATIVE_VERB,0.5,0.4,0.5,0.35,0.75,0.35,2500.0,0.295,0.5,1.0,0.474,0.45,0.4,3,#808080,50.0,0.0,0.0,"Reduplicated form mapped to Mass x2=0.4, Hardness x11=0.4, and Luminance x8=0.5.",COMPLETED_AFRICA_A16,4,0.5,1.0,0.9
vhahla,Zulu,zu,Sound,Sound/Impact,Crashing down of wooden poles or dry branches,vha-hla,ROOT,0.5,0.4,0.5,0.9,0.75,0.35,2500.0,0.295,0.5,1.0,0.474,0.45,0.4,3,#808080,50.0,0.0,0.0,"Fricative sound, Reduplicated form mapped to Mass x2=0.4, Hardness x11=0.4, and Luminance x8=0.5.",COMPLETED_AFRICA_A16,4,0.5,1.0,0.9
chifi,Zulu,zu,Motion,Texture/Touch,Squishing or crushing a soft gooey object flat,chi-fi,ROOT,0.98,0.4,0.5,0.3,0.4,0.65,5200.0,0.641,0.5,0.6,0.263,0.45,0.6,3,#808080,50.0,0.0,0.0,"Click consonant, Fricative sound mapped to Mass x2=0.4, Hardness x11=0.6, and Luminance x8=0.5.",COMPLETED_AFRICA_A16,2,0.5,0.0,0.5
chifi-chifi,Zulu,zu,Motion,Texture/Touch,Intensified or continuous aspect of chifi: squishing or crushing a soft gooey object flat,chi-fi-chi-fi,REDUP_2,0.98,0.4,0.5,0.3,0.9,0.65,5200.0,0.641,0.5,1.0,0.474,0.45,0.6,3,#808080,50.0,0.0,0.0,"Click consonant, Fricative sound, Reduplicated form mapped to Mass x2=0.4, Hardness x11=0.6, and Luminance x8=0.5.",COMPLETED_AFRICA_A16,4,0.5,1.0,0.9
chifika,Zulu,zu,Verb/State,Texture/Touch,Stative verb derived from ideophone root chifi,chi-fi-ka,STATIVE_VERB,0.98,0.4,0.5,0.55,0.75,0.65,5200.0,0.641,0.5,1.0,0.474,0.45,0.85,4,#808080,50.0,0.0,0.0,"Click consonant, Fricative sound, Reduplicated form mapped to Mass x2=0.4, Hardness x11=0.85, and Luminance x8=0.5.",COMPLETED_AFRICA_A16,4,0.5,1.0,0.9
klebu,Zulu,zu,Color,Color/Purity,"Shattering red, tearing open to reveal red interior",kle-bu,ROOT,0.65,0.4,0.5,0.35,0.4,0.35,4000.0,0.487,0.7,0.6,0.263,0.45,0.4,3,#DC143C,70.0,85.0,50.0,"Standard phonetic root mapped to Mass x2=0.4, Hardness x11=0.4, and Luminance x8=0.7.",COMPLETED_AFRICA_A16,2,0.5,0.0,0.5
klebu-klebu,Zulu,zu,Color,Color/Purity,"Intensified or continuous aspect of klebu: shattering red, tearing open to reveal red interior",kle-bu-kle-bu,REDUP_2,0.65,0.4,0.5,0.35,0.9,0.35,4000.0,0.487,0.7,1.0,0.474,0.45,0.4,3,#DC143C,70.0,85.0,50.0,"Reduplicated form mapped to Mass x2=0.4, Hardness x11=0.4, and Luminance x8=0.7.",COMPLETED_AFRICA_A16,4,0.5,1.0,0.9
klebuka,Zulu,zu,Verb/State,Color/Purity,Stative verb derived from ideophone root klebu,kle-bu-ka,STATIVE_VERB,0.65,0.4,0.5,0.35,0.75,0.35,4000.0,0.487,0.5,1.0,0.474,0.45,0.4,3,#808080,50.0,0.0,0.0,"Reduplicated form mapped to Mass x2=0.4, Hardness x11=0.4, and Luminance x8=0.5.",COMPLETED_AFRICA_A16,4,0.5,1.0,0.9
bhu,Zulu,zu,Sound,Sound/Impact,Heavy thud of a falling box or body,bhu,ROOT,0.5,0.7,0.6,0.35,0.15,0.35,2500.0,0.295,0.5,0.25,0.079,0.45,0.4,3,#808080,50.0,0.0,0.0,"Standard phonetic root mapped to Mass x2=0.7, Hardness x11=0.4, and Luminance x8=0.5.",COMPLETED_AFRICA_A16,2,0.5,0.0,0.5
bhu-bhu,Zulu,zu,Sound,Sound/Impact,Intensified or continuous aspect of bhu: heavy thud of a falling box or body,bhu-bhu,REDUP_2,0.5,0.7,0.5,0.35,0.9,0.35,2500.0,0.295,0.5,1.0,0.474,0.45,0.4,3,#808080,50.0,0.0,0.0,"Reduplicated form mapped to Mass x2=0.7, Hardness x11=0.4, and Luminance x8=0.5.",COMPLETED_AFRICA_A16,4,0.5,1.0,0.9
bhuka,Zulu,zu,Verb/State,Sound/Impact,Stative verb derived from ideophone root bhu,bhu-ka,STATIVE_VERB,0.5,0.4,0.5,0.35,0.4,0.35,2500.0,0.295,0.5,0.6,0.263,0.45,0.4,3,#808080,50.0,0.0,0.0,"Standard phonetic root mapped to Mass x2=0.4, Hardness x11=0.4, and Luminance x8=0.5.",COMPLETED_AFRICA_A16,2,0.5,0.0,0.5
cwe,Zulu,zu,State,Texture/Purity,"Clear, transparent, undisturbed water surface",cwe,ROOT,0.98,0.4,0.6,0.35,0.15,0.65,5200.0,0.641,0.5,0.25,0.079,0.45,0.85,4,#808080,50.0,0.0,0.0,"Click consonant mapped to Mass x2=0.4, Hardness x11=0.85, and Luminance x8=0.5.",COMPLETED_AFRICA_A16,2,0.5,0.0,0.5
cwe-cwe,Zulu,zu,State,Texture/Purity,"Intensified or continuous aspect of cwe: clear, transparent, undisturbed water surface",cwe-cwe,REDUP_2,0.98,0.4,0.5,0.35,0.9,0.65,5200.0,0.641,0.5,1.0,0.474,0.45,0.85,4,#808080,50.0,0.0,0.0,"Click consonant, Reduplicated form mapped to Mass x2=0.4, Hardness x11=0.85, and Luminance x8=0.5.",COMPLETED_AFRICA_A16,4,0.5,1.0,0.9
cweka,Zulu,zu,Verb/State,Texture/Purity,Stative verb derived from ideophone root cwe,cwe-ka,STATIVE_VERB,0.98,0.4,0.5,0.35,0.4,0.65,5200.0,0.641,0.5,0.6,0.263,0.45,0.85,4,#808080,50.0,0.0,0.0,"Click consonant mapped to Mass x2=0.4, Hardness x11=0.85, and Luminance x8=0.5.",COMPLETED_AFRICA_A16,2,0.5,0.0,0.5
