word,pronunciation_romaji,meaning_en,category,domain,polarity,intensity,tone,morphology,ipa_clean,x1,x2,x3,x4,x5,x6,x7_hz,x7_norm,x8,x9_re,x9_norm,x10,x11,x11_ord,x12,L,a,b,rationale,flags,x13_accent,x14_contour,x15_meter,x16_regularity,morph_type
ばったり,battari,Manner or sound of ばったり: 遭遇 or 倒伏。最大の時間性と直接性。,Psychomime (State/Manner),Dynamics,Neutral,Unvoiced (Light),Neutral,Reduplication,battaɾi,8,9,8,8,3,5,200.0,1.75,9,12000.0,8.13,9,mc,3,#000000,0.0,0.0,0.0,"Reflecting voiced consonants and unvoiced plosives for a vector configuration of Weight 8, Time 9, and Flow 8.",,5,5,5,8,COMPOUND(複合・異種)
ばっちり,batchiri,Manner or sound of ばっちり: 完遂。最大のSpaceと抑制。高い適合性。,Psychomime (State/Manner),Dynamics,Neutral,Unvoiced (Light),Neutral,Reduplication,battɕiɾi,6,8,9,9,2,3,800.0,5.26,8,9000.0,7.64,9,h,6,#DAA520,70.8,8.5,68.8,"Reflecting voiced consonants and unvoiced plosives for a vector configuration of Weight 6, Time 8, and Flow 9.",,5,5,5,8,COMPOUND(複合・異種)
ばんばん,banban,Manner or sound of ばんばん: 連続打撃。鼻音による共鳴と強大なWeight。,Psychomime (State/Manner),Dynamics,Neutral,Unvoiced (Light),Neutral,Reduplication,bambaŋ,8,7,9,4,4,5,180.0,1.49,5,13000.0,8.27,9,h,6,#FF0000,53.2,80.1,67.2,"Reflecting voiced consonants and nasal resonance for a vector configuration of Weight 8, Time 7, and Flow 4.",,4,5,6,1,REDUP(畳語・同一)
ぱきぱき,pakipaki,Manner or sound of ぱきぱき: 硬質な破壊。最小のMoistureと高いHardness。,Psychomime (State/Manner),Dynamics,Neutral,Unvoiced (Light),Neutral,Reduplication,pakipaki,3,8,7,8,1,0,2500.0,8.15,8,11000.0,7.98,6,c,2,#FFFFFF,100.0,-0.0,0.0,"Reflecting unvoiced plosives for a vector configuration of Weight 3, Time 8, and Flow 8.",,4,5,6,1,REDUP(畳語・同一)
ぱくぱく,pakupaku,Manner or sound of ぱくぱく: 咀嚼。両唇音の開放と高い時間性。,Psychomime (State/Manner),Taste,Positive,Voiced (Heavy),Bright/Light/Small,Reduplication,pakupaku,3,6,6,4,6,4,600.0,4.54,6,4500.0,6.47,7,mh,5,#FFDAB9,89.4,8.1,21.0,"Reflecting unvoiced plosives for a vector configuration of Weight 3, Time 6, and Flow 4.",,4,5,6,1,REDUP(畳語・同一)
ぱくり,pakuri,Manner or sound of ぱくり: 捕食の完了。弾き音によるSpaceの収束。,Psychomime (State/Manner),Dynamics,Neutral,Unvoiced (Light),Neutral,Reduplication,pakuɾi,4,7,8,5,6,5,500.0,4.07,7,6000.0,6.95,8,mh,5,#FF8C00,69.5,36.8,75.5,"Reflecting unvoiced plosives and flap consonant /ɾ/ for a vector configuration of Weight 4, Time 7, and Flow 5.",,4,6,0,0,RI(り単発)
ぱさぱさ,pasapasa,Manner or sound of ぱさぱさ: 枯渇。最大の流体性と最小のMoisture。,Psychomime (State/Manner),Dynamics,Neutral,Unvoiced (Light),Neutral,Reduplication,pasapasa,1,4,2,3,9,0,1200.0,6.29,5,10000.0,7.82,2,c,2,#D2B48C,75.0,5.0,24.4,"Reflecting unvoiced plosives and fricatives for a vector configuration of Weight 1, Time 4, and Flow 3.",,4,5,6,1,REDUP(畳語・同一)
ぱちくり,pachikuri,Manner or sound of ぱちくり: まばたき。高い時間性と流体的な運動。,Psychomime (State/Manner),Dynamics,Neutral,Unvoiced (Light),Neutral,Reduplication,patɕikuɾi,2,8,6,3,7,3,1500.0,6.86,8,8000.0,7.44,5,h,6,#FFFFFF,100.0,-0.0,0.0,"Reflecting unvoiced plosives and fricatives for a vector configuration of Weight 2, Time 8, and Flow 3.",,5,5,5,8,COMPOUND(複合・異種)
ぱちぱち,pachipachi,Manner or sound of ぱちぱち: 拍手 or 発火。高い周波数とHardness。,Phenomime (Sound),Color/Light,Positive,Semi-voiced (Crisp),Bright/Light/Small,Reduplication,patɕipatɕi,3,8,7,6,3,1,2000.0,7.58,7,13000.0,8.27,7,h,6,#FF4500,57.6,67.8,69.0,"Reflecting unvoiced plosives and fricatives for a vector configuration of Weight 3, Time 8, and Flow 6.",,4,5,6,1,REDUP(畳語・同一)
ぱっちり,patchiri,Manner or sound of ぱっちり: 開眼。最大の空間直接性と抑制。,Psychomime (State/Manner),Dynamics,Neutral,Unvoiced (Light),Neutral,Reduplication,pattɕiɾi,3,8,9,9,4,3,1600.0,7.02,8,10000.0,7.82,9,h,6,#FFFFFF,100.0,-0.0,0.0,"Reflecting unvoiced plosives and fricatives for a vector configuration of Weight 3, Time 8, and Flow 9.",,5,5,5,8,COMPOUND(複合・異種)
ぱらぱら,parapara,Manner or sound of ぱらぱら: 散布。最小Weightと高いRe数。,Phenomime (Sound),Weather/Nature,Neutral,Voiced (Heavy),Bright/Light/Small,Reduplication,paɾapaɾa,1,6,3,1,9,1,900.0,5.56,5,9500.0,7.74,4,mc,3,#FFFFFF,100.0,-0.0,0.0,"Reflecting unvoiced plosives and flap consonant /ɾ/ for a vector configuration of Weight 1, Time 6, and Flow 1.",,4,5,6,1,REDUP(畳語・同一)
ぱりっ,parit,Manner or sound of ぱりっ: 薄い剛体の破壊。最大のHardnessと時間性。,Psychomime (State/Manner),Dynamics,Neutral,Unvoiced (Light),Neutral,Reduplication,paɾiʔ,3,9,9,9,1,0,2800.0,8.44,9,16000.0,8.62,9,c,2,#FFFFFF,100.0,-0.0,0.0,"Reflecting unvoiced plosives and flap consonant /ɾ/ for a vector configuration of Weight 3, Time 9, and Flow 9.",,2,5,0,0,Q(促音単発)
ぱりぱり,paripari,Manner or sound of ぱりぱり: 表面特性。乾燥と高い周波数の連続。,Psychomime (State/Manner),Dynamics,Neutral,Unvoiced (Light),Neutral,Reduplication,paɾipaɾi,3,8,8,8,1,0,2500.0,8.15,7,14000.0,8.39,8,c,2,#CD853F,61.8,21.4,47.9,"Reflecting unvoiced plosives and flap consonant /ɾ/ for a vector configuration of Weight 3, Time 8, and Flow 8.",,4,5,6,1,REDUP(畳語・同一)
ぱー,pa-,Manner or sound of ぱー: 放出。長音による持続。自由なFlow。,Psychomime (State/Manner),Dynamics,Neutral,Unvoiced (Light),Neutral,Reduplication,paː,2,1,1,0,9,3,600.0,4.54,0,2000.0,5.09,1,h,6,#FFD700,86.9,-1.9,87.1,"Reflecting unvoiced plosives and long vowel extension for a vector configuration of Weight 2, Time 1, and Flow 0.",,2,7,7,1,LONG(長音ー)
ひしひし,hishihishi,Manner or sound of ひしひし: 圧力の浸透。高周波摩擦と最大の抑制。,Psychomime (State/Manner),Dynamics,Neutral,Unvoiced (Light),Neutral,Reduplication,çiɕiçiɕi,4,6,7,9,3,4,1800.0,7.32,6,9000.0,7.64,8,c,2,#708090,52.8,-2.1,-10.6,"Reflecting fricatives for a vector configuration of Weight 4, Time 6, and Flow 9.",,4,5,6,1,REDUP(畳語・同一)
ひそひそ,hisohiso,Manner or sound of ひそひそ: 密談。最小Weightと最大の抑制。層流摩擦。,Psychomime (State/Manner),Dynamics,Neutral,Unvoiced (Light),Neutral,Reduplication,çisoçiso,1,5,2,9,9,2,2200.0,7.82,5,4000.0,6.27,3,c,2,#2F4F4F,31.3,-11.7,-3.7,"Reflecting fricatives for a vector configuration of Weight 1, Time 5, and Flow 9.",,4,5,6,1,REDUP(畳語・同一)
ひっそり,hitsori,Manner or sound of ひっそり: 静寂の浸透。低Weightと最大のFlow抑制。,Psychomime (State/Manner),Dynamics,Neutral,Unvoiced (Light),Neutral,Reduplication,çissoɾi,2,2,4,9,9,1,2500.0,8.15,6,500.0,2.73,9,cc,1,#F0F8FF,97.2,-1.3,-4.3,"Reflecting fricatives and flap consonant /ɾ/ for a vector configuration of Weight 2, Time 2, and Flow 9.",,5,5,5,8,COMPOUND(複合・異種)
ひひーん,hihi-n,Manner or sound of ひひーん: 馬の鳴き voice/cry.有気音の持続と高い空間指向性。,Psychomime (State/Manner),Dynamics,Neutral,Unvoiced (Light),Neutral,Reduplication,çiçiːŋ,4,4,7,3,8,5,1400.0,6.68,1,10000.0,7.82,6,h,6,#FFFFFF,100.0,-0.0,0.0,"Reflecting fricatives and nasal resonance for a vector configuration of Weight 4, Time 4, and Flow 3.",,5,5,5,8,COMPOUND(複合・異種)
ひやっ,hiyat,Manner or sound of ひやっ: 冷覚の衝撃。最大のTimeと極寒。,Psychomime (State/Manner),Dynamics,Neutral,Unvoiced (Light),Neutral,Reduplication,çijaʔ,3,9,9,6,9,6,1200.0,6.29,9,15000.0,8.51,9,ccc,0,#E0FFFF,97.9,-9.9,-3.4,"Reflecting fricatives and geminate sokuon (sudden onset) for a vector configuration of Weight 3, Time 9, and Flow 6.",,2,5,0,0,Q(促音単発)
ひゅうひゅう,hyuuhyuu,Manner or sound of ひゅうひゅう: 風の sound.高い流体性と高周波持続 sound.,Psychomime (State/Manner),Dynamics,Neutral,Unvoiced (Light),Neutral,Reduplication,çuuçuu,2,3,5,1,9,3,2200.0,7.82,0,12000.0,8.13,5,c,2,#FFFFFF,100.0,-0.0,0.0,"Reflecting fricatives for a vector configuration of Weight 2, Time 3, and Flow 1.",,4,5,6,1,REDUP(畳語・同一)
ひゅるひゅる,hyuruhyuru,Manner or sound of ひゅるひゅる: 螺旋状流体。乱流 Re数と高い流体性。,Psychomime (State/Manner),Dynamics,Neutral,Unvoiced (Light),Neutral,Reduplication,çuɾuçuɾu,2,5,3,2,9,4,1800.0,7.32,3,9000.0,7.64,6,mc,3,#AFEEEE,90.1,-19.6,-6.4,"Reflecting fricatives and flap consonant /ɾ/ for a vector configuration of Weight 2, Time 5, and Flow 2.",,4,5,6,1,REDUP(畳語・同一)
ひょいひょい,hyoihyoi,Manner or sound of ひょいひょい: 軽快な action。低いWeightと高い時間性。,Psychomime (State/Manner),Dynamics,Neutral,Unvoiced (Light),Neutral,Reduplication,çoiçoi,2,7,4,2,9,3,1000.0,5.83,6,4000.0,6.27,4,h,6,#FFFFFF,100.0,-0.0,0.0,"Reflecting fricatives for a vector configuration of Weight 2, Time 7, and Flow 2.",,4,5,6,1,REDUP(畳語・同一)
ひょっ,hyot,Manner or sound of ひょっ: 偶然 or 出現。最大のTimeとBo数。,Psychomime (State/Manner),Dynamics,Neutral,Unvoiced (Light),Neutral,Reduplication,çoʔ,3,9,8,8,8,2,1100.0,6.07,9,13000.0,8.27,9,h,6,#FFFFFF,100.0,-0.0,0.0,"Reflecting fricatives and geminate sokuon (sudden onset) for a vector configuration of Weight 3, Time 9, and Flow 8.",,2,5,0,0,Q(促音単発)
ひょっこり,hyotkori,Manner or sound of ひょっこり: 予想外の出現。高い時間性と流体的な余韻。,Psychomime (State/Manner),Dynamics,Neutral,Unvoiced (Light),Neutral,Reduplication,çokkoɾi,3,8,6,5,8,3,900.0,5.56,8,7000.0,7.22,8,h,6,#FFFFFF,100.0,-0.0,0.0,"Reflecting unvoiced plosives and fricatives for a vector configuration of Weight 3, Time 8, and Flow 5.",,5,5,5,8,COMPOUND(複合・異種)
ひよひよ,hiyohiyo,Manner or sound of ひよひよ: 雛の鳴 voice/cry.最小Weightと高い流体性。,Psychomime (State/Manner),Dynamics,Neutral,Unvoiced (Light),Neutral,Reduplication,çijoçijo,1,3,2,2,9,6,1300.0,6.49,2,800.0,3.53,2,mh,5,#FFFACD,97.6,-5.4,22.2,"Reflecting fricatives for a vector configuration of Weight 1, Time 3, and Flow 2.",,4,5,6,1,REDUP(畳語・同一)
ひらひら,hirahira,Manner or sound of ひらひら: 二次元の流体運動。低Weightと低いRe数。,Psychomime (State/Manner),Dynamics,Neutral,Unvoiced (Light),Neutral,Reduplication,çiɾaçiɾa,1,4,2,1,9,2,850.0,5.42,4,5000.0,6.65,3,mc,3,#FFFFFF,100.0,-0.0,0.0,"Reflecting fricatives and flap consonant /ɾ/ for a vector configuration of Weight 1, Time 4, and Flow 1.",,4,5,6,1,REDUP(畳語・同一)
ひりひり,hirihiri,Manner or sound of ひりひり: 表面の痛み。高周波摩擦と高い温度感。,Psychomime (State/Manner),Dynamics,Neutral,Unvoiced (Light),Neutral,Reduplication,çiɾiçiɾi,3,6,7,9,5,1,2400.0,8.04,5,14000.0,8.39,7,hh,7,#FF4500,57.6,67.8,69.0,"Reflecting fricatives and flap consonant /ɾ/ for a vector configuration of Weight 3, Time 6, and Flow 9.",,4,5,6,1,REDUP(畳語・同一)
ひんやり,hinyari,Manner or sound of ひんやり: 冷感。鼻音による適度な水分と低い温度。,Psychomime (State/Manner),Temperature,Positive,Unvoiced (Light),Bright/Light/Small,-ri Ending,çiŋjaɾi,3,3,4,6,9,7,750.0,5.1,5,900.0,3.73,8,cc,1,#AFEEEE,90.1,-19.6,-6.4,"Reflecting fricatives and nasal resonance for a vector configuration of Weight 3, Time 3, and Flow 6.",,5,5,5,8,COMPOUND(複合・異種)
ひーひー,hi-hi-,Manner or sound of ひーひー: 悲鳴や喘鳴。抑制されたFlowと高周波。,Psychomime (State/Manner),Dynamics,Neutral,Unvoiced (Light),Neutral,Reduplication,çiːçiː,4,5,4,8,7,6,2200.0,7.82,1,11000.0,7.98,6,h,6,#FFFFFF,100.0,-0.0,0.0,"Reflecting fricatives and long vowel extension for a vector configuration of Weight 4, Time 5, and Flow 8.",,4,5,6,1,REDUP(畳語・同一)
びくびく,bikubiku,Manner or sound of びくびく: 怯え。重いWeightと最大のFlow抑制。,Psychomime (State/Manner),Dynamics,Neutral,Unvoiced (Light),Neutral,Reduplication,bikubiku,6,7,3,9,5,5,400.0,3.51,7,7500.0,7.33,8,c,2,#808080,53.6,-0.0,0.0,"Reflecting voiced consonants and unvoiced plosives for a vector configuration of Weight 6, Time 7, and Flow 9.",,4,5,6,1,REDUP(畳語・同一)
びくり,bikuri,Manner or sound of びくり: 震え。有声音によるWeightと突発時間性。,Psychomime (State/Manner),Dynamics,Neutral,Unvoiced (Light),Neutral,Reduplication,bikuɾi,7,8,8,8,6,4,350.0,3.17,8,9500.0,7.74,9,c,2,#000000,0.0,0.0,0.0,"Reflecting voiced consonants and unvoiced plosives for a vector configuration of Weight 7, Time 8, and Flow 8.",,4,6,0,0,RI(り単発)
びしびし,bishibishi,Manner or sound of びしびし: 容赦ない打撃。最大のSpaceと抑制。,Psychomime (State/Manner),Dynamics,Neutral,Unvoiced (Light),Neutral,Reduplication,biɕibiɕi,7,8,9,9,3,2,1400.0,6.68,7,12000.0,8.13,9,c,2,#000000,0.0,0.0,0.0,"Reflecting voiced consonants and fricatives for a vector configuration of Weight 7, Time 8, and Flow 9.",,4,5,6,1,REDUP(畳語・同一)
びしゃびしゃ,bishabisha,Manner or sound of びしゃびしゃ: 浸水。濁音のWeightと最大Moisture。,Psychomime (State/Manner),Dynamics,Neutral,Unvoiced (Light),Neutral,Reduplication,biɕabiɕa,6,5,3,3,8,9,220.0,2.0,4,18000.0,8.82,9,mc,3,#0000CD,25.0,67.2,-91.5,"Reflecting voiced consonants and fricatives for a vector configuration of Weight 6, Time 5, and Flow 3.",,4,5,6,1,REDUP(畳語・同一)
びしょびしょ,bishobisho,Manner or sound of びしょびしょ: 飽和。より重いWeightと水分保持物理。,Psychomime (State/Manner),Dynamics,Neutral,Unvoiced (Light),Neutral,Reduplication,biɕobiɕo,7,4,2,4,8,9,180.0,1.49,2,17000.0,8.72,9,mc,3,#000080,13.0,47.5,-64.7,"Reflecting voiced consonants and fricatives for a vector configuration of Weight 7, Time 4, and Flow 4.",,4,5,6,1,REDUP(畳語・同一)
びっしょり,bitshori,Manner or sound of びっしょり: 完液。抑制されたFlowと鼻音的共鳴。,Psychomime (State/Manner),Dynamics,Neutral,Unvoiced (Light),Neutral,Reduplication,biɕɕoɾi,6,5,4,7,7,9,250.0,2.32,7,3000.0,5.78,9,mh,5,#191970,15.9,31.7,-49.6,"Reflecting voiced consonants and fricatives for a vector configuration of Weight 6, Time 5, and Flow 7.",,5,5,5,8,COMPOUND(複合・異種)
びっしり,bitshiri,Manner or sound of びっしり: 隙間のない充填。最大のSpaceと抑制。,Psychomime (State/Manner),Dynamics,Neutral,Unvoiced (Light),Neutral,Reduplication,biɕɕiɾi,7,4,9,9,3,3,1200.0,6.29,8,8500.0,7.55,9,c,2,#708090,52.8,-2.1,-10.6,"Reflecting voiced consonants and fricatives for a vector configuration of Weight 7, Time 4, and Flow 9.",,5,5,5,8,COMPOUND(複合・異種)
びゅんびゅん,byunbyun,Manner or sound of びゅんびゅん: 高速飛行。強大なWeightと空間直接性。,Psychomime (State/Manner),Dynamics,Neutral,Unvoiced (Light),Neutral,Reduplication,bjumbjuŋ,7,7,9,3,8,4,350.0,3.17,4,15000.0,8.51,8,h,6,#1E90FF,59.4,10.0,-63.4,"Reflecting voiced consonants and nasal resonance for a vector configuration of Weight 7, Time 7, and Flow 3.",,4,5,6,1,REDUP(畳語・同一)
ぴかっ,pikat,Manner or sound of ぴかっ: 閃光。最大のTimeと気圧放出。,Psychomime (State/Manner),Dynamics,Neutral,Unvoiced (Light),Neutral,Reduplication,pikaʔ,4,9,9,2,9,1,2800.0,8.44,9,20000.0,9.0,9,h,6,#FFFFFF,100.0,-0.0,0.0,"Reflecting unvoiced plosives and geminate sokuon (sudden onset) for a vector configuration of Weight 4, Time 9, and Flow 2.",,2,5,0,0,Q(促音単発)
ぴかぴか,pikapika,Manner or sound of ぴかぴか: 輝いて光を放つ manner.,Psychomime (State/Manner),Color/Light,Positive,Semi-voiced (Crisp),Bright/Light/Small,Reduplication,pikapika,3,6,6,0,9,1,2500.0,8.15,4,18000.0,8.82,5,h,6,#FFD700,86.9,-1.9,87.1,"Reflecting unvoiced plosives for a vector configuration of Weight 3, Time 6, and Flow 0.",,4,5,6,1,REDUP(畳語・同一)
ぴかり,pikari,Manner or sound of ぴかり: 単発の光輝。弾き音による空間の収束。,Psychomime (State/Manner),Dynamics,Neutral,Unvoiced (Light),Neutral,Reduplication,pikaɾi,3,7,8,3,9,2,2200.0,7.82,6,14000.0,8.39,7,h,6,#FFFACD,97.6,-5.4,22.2,"Reflecting unvoiced plosives and flap consonant /ɾ/ for a vector configuration of Weight 3, Time 7, and Flow 3.",,4,6,0,0,RI(り単発)
ぴたっ,pitat,Manner or sound of ぴたっ: 吸着停止。最大の抑制と時間性。,Psychomime (State/Manner),Dynamics,Neutral,Unvoiced (Light),Neutral,Reduplication,pitaʔ,4,9,9,9,5,6,450.0,3.81,9,15000.0,8.51,9,mh,5,#FFFFFF,100.0,-0.0,0.0,"Reflecting unvoiced plosives and geminate sokuon (sudden onset) for a vector configuration of Weight 4, Time 9, and Flow 9.",,2,5,0,0,Q(促音単発)
ぴたり,pitari,Manner or sound of ぴたり: 精密適合。最大のSpace直接性と抑制。,Psychomime (State/Manner),Dynamics,Neutral,Unvoiced (Light),Neutral,Reduplication,pitaɾi,4,8,9,9,6,7,500.0,4.07,8,11000.0,7.98,9,h,6,#FFFFFF,100.0,-0.0,0.0,"Reflecting unvoiced plosives and flap consonant /ɾ/ for a vector configuration of Weight 4, Time 8, and Flow 9.",,4,6,0,0,RI(り単発)
ぴちぴち,pichipichi,Manner or sound of ぴちぴち: 活き。高い時間性と水分。,Psychomime (State/Manner),Dynamics,Positive,Semi-voiced (Crisp),Bright/Light/Small,Reduplication,pitɕipitɕi,3,8,7,5,4,8,1800.0,7.32,7,13000.0,8.27,8,mh,5,#87CEEB,79.2,-14.8,-21.3,"Reflecting unvoiced plosives and fricatives for a vector configuration of Weight 3, Time 8, and Flow 5.",,4,5,6,1,REDUP(畳語・同一)
ぴったり,pittari,Manner or sound of ぴったり: 隙間なく密着・一致する manner.,Psychomime (State/Manner),Density/Distance,Positive,Semi-voiced (Crisp),Bright/Light/Small,-ri Ending,pittaɾi,5,8,9,9,3,5,650.0,4.74,8,9500.0,7.74,9,h,6,#FFFFFF,100.0,-0.0,0.0,"Reflecting unvoiced plosives and flap consonant /ɾ/ for a vector configuration of Weight 5, Time 8, and Flow 9.",,5,5,5,8,COMPOUND(複合・異種)
ぴょん,pyon,Manner or sound of ぴょん: 飛躍。鼻音の反動による高い時間性。,Psychomime (State/Manner),Dynamics,Neutral,Unvoiced (Light),Neutral,Reduplication,pjoŋ,3,8,8,4,8,3,800.0,5.26,8,7000.0,7.22,8,h,6,#FFFFFF,100.0,-0.0,0.0,"Reflecting unvoiced plosives and nasal resonance for a vector configuration of Weight 3, Time 8, and Flow 4.",,3,6,0,0,N(撥音単発)
ぴょんぴょん,pyonpyon,Manner or sound of ぴょんぴょん: 連続飛躍。低いWeightと流体運動。,Psychomime (State/Manner),Dynamics,Neutral,Unvoiced (Light),Neutral,Reduplication,pjompjoŋ,2,7,6,2,8,4,750.0,5.1,5,6000.0,6.95,7,h,6,#FFFFFF,100.0,-0.0,0.0,"Reflecting unvoiced plosives and nasal resonance for a vector configuration of Weight 2, Time 7, and Flow 2.",,4,5,6,1,REDUP(畳語・同一)
ぴりっ,pirit,Manner or sound of ぴりっ: 辛味や静電気。最大のTimeと高周波。,Psychomime (State/Manner),Dynamics,Neutral,Unvoiced (Light),Neutral,Reduplication,piɾiʔ,3,9,9,9,4,1,2600.0,8.25,9,17000.0,8.72,9,h,6,#FF4500,57.6,67.8,69.0,"Reflecting unvoiced plosives and flap consonant /ɾ/ for a vector configuration of Weight 3, Time 9, and Flow 9.",,2,5,0,0,Q(促音単発)
ぴりぴり,piripiri,Manner or sound of ぴりぴり: 緊張の浸透。最大のFlow抑制と熱感。,Psychomime (State/Manner),Dynamics,Neutral,Unvoiced (Light),Neutral,Reduplication,piɾipiɾi,4,6,7,9,5,1,2400.0,8.04,6,15000.0,8.51,8,hh,7,#FF0000,53.2,80.1,67.2,"Reflecting unvoiced plosives and flap consonant /ɾ/ for a vector configuration of Weight 4, Time 6, and Flow 9.",,4,5,6,1,REDUP(畳語・同一)
ぴん,pin,Manner or sound of ぴん: 緊張の極み。最大のSpace直接性とBo数。,Psychomime (State/Manner),Dynamics,Neutral,Unvoiced (Light),Neutral,Reduplication,piŋ,3,7,9,8,4,2,1200.0,6.29,7,10000.0,7.82,9,c,2,#FFFFFF,100.0,-0.0,0.0,"Reflecting unvoiced plosives and nasal resonance for a vector configuration of Weight 3, Time 7, and Flow 8.",,3,6,0,0,N(撥音単発)
ぴんぴん,pinpin,Manner or sound of ぴんぴん: 活力。高い空間指向性と時間性。,Psychomime (State/Manner),Dynamics,Neutral,Unvoiced (Light),Neutral,Reduplication,pimpiŋ,3,6,8,4,5,3,1100.0,6.07,5,8000.0,7.44,8,h,6,#ADFF2F,92.0,-52.5,81.9,"Reflecting unvoiced plosives and nasal resonance for a vector configuration of Weight 3, Time 6, and Flow 4.",,4,5,6,1,REDUP(畳語・同一)
ぴーちく,pi-chiku,Manner or sound of ぴーちく: 鳥の囀り。長音による流体性と高周波。,Psychomime (State/Manner),Dynamics,Neutral,Unvoiced (Light),Neutral,Reduplication,piːtɕiku,2,5,5,3,8,4,3000.0,8.61,2,11000.0,7.98,4,h,6,#FFFFE0,99.3,-5.1,14.8,"Reflecting unvoiced plosives and fricatives for a vector configuration of Weight 2, Time 5, and Flow 3.",,5,5,5,8,COMPOUND(複合・異種)
ぴーぴー,pi-pi-,Manner or sound of ぴーぴー: 電子音や泣き voice/cry.高い流体性と指向性。,Psychomime (State/Manner),Dynamics,Neutral,Unvoiced (Light),Neutral,Reduplication,piːpiː,2,2,6,4,9,3,2800.0,8.44,0,13000.0,8.27,5,h,6,#FFFFFF,100.0,-0.0,0.0,"Reflecting unvoiced plosives and long vowel extension for a vector configuration of Weight 2, Time 2, and Flow 4.",,4,5,6,1,REDUP(畳語・同一)
ふうふう,fuufuu,Manner or sound of ふうふう: 冷却 or 喘鳴。摩擦音/ɸ/と自由Flow。,Psychomime (State/Manner),Dynamics,Neutral,Unvoiced (Light),Neutral,Reduplication,ɸuuɸuu,4,2,2,0,9,7,450.0,3.81,1,7000.0,7.22,5,h,6,#FFD700,86.9,-1.9,87.1,"Reflecting fricatives for a vector configuration of Weight 4, Time 2, and Flow 0.",,4,5,6,1,REDUP(畳語・同一)
ふかふか,fukafuka,Manner or sound of ふかふか: 柔らかくて心地よい弾力がある manner.,Psychomime (State/Manner),Texture,Positive,Voiced (Heavy),Dark/Heavy/Large,Reduplication,ɸukaɸuka,2,2,2,1,8,3,350.0,3.17,3,400.0,2.35,3,mh,5,#FFF5EE,97.1,2.2,4.6,"Reflecting unvoiced plosives and fricatives for a vector configuration of Weight 2, Time 2, and Flow 1.",,4,5,6,1,REDUP(畳語・同一)
ふさふさ,fusafusa,Manner or sound of ふさふさ: 毛髪。最小Weightと自由な流体運動。,Psychomime (State/Manner),Dynamics,Neutral,Unvoiced (Light),Neutral,Reduplication,ɸusaɸusa,1,3,1,2,9,2,800.0,5.26,2,2000.0,5.09,2,mh,5,#F5F5F5,96.5,-0.0,0.0,"Reflecting fricatives for a vector configuration of Weight 1, Time 3, and Flow 2.",,4,5,6,1,REDUP(畳語・同一)
ふっくら,futkura,Manner or sound of ふっくら: 膨らみ。適度な抑制とBo数。,Psychomime (State/Manner),Dynamics,Neutral,Unvoiced (Light),Neutral,Reduplication,ɸukkuɾa,3,3,4,5,7,5,300.0,2.78,6,800.0,3.53,6,mh,5,#FFE4E1,92.7,8.7,4.8,"Reflecting unvoiced plosives and fricatives for a vector configuration of Weight 3, Time 3, and Flow 5.",,5,5,5,8,COMPOUND(複合・異種)
ふっと,futto,Manner or sound of ふっと: 吐息や消失。最大のTimeと流体性。,Psychomime (State/Manner),Dynamics,Neutral,Unvoiced (Light),Neutral,Reduplication,ɸutto,3,9,8,6,9,1,600.0,4.54,9,12000.0,8.13,9,h,6,#FFFFFF,100.0,-0.0,0.0,"Reflecting unvoiced plosives and fricatives for a vector configuration of Weight 3, Time 9, and Flow 6.",,3,4,0,0,Qto(っと)
ふっふっ,futfut,Manner or sound of ふっふっ: 抑制された吐息。高い時間性と流体性。,Psychomime (State/Manner),Dynamics,Neutral,Unvoiced (Light),Neutral,Reduplication,ɸuɸɸuʔ,2,9,5,7,9,4,500.0,4.07,9,8000.0,7.44,8,h,6,#FFFFFF,100.0,-0.0,0.0,"Reflecting fricatives and geminate sokuon (sudden onset) for a vector configuration of Weight 2, Time 9, and Flow 7.",,4,5,6,1,REDUP(畳語・同一)
ふつふつ,futsufutsu,Manner or sound of ふつふつ: 沸き上がる。最大の抑制とBo数。,Psychomime (State/Manner),Dynamics,Neutral,Unvoiced (Light),Neutral,Reduplication,ɸutsuɸutsu,4,6,6,9,6,8,280.0,2.61,5,2500.0,5.47,9,hh,7,#FF4500,57.6,67.8,69.0,"Reflecting unvoiced plosives and fricatives for a vector configuration of Weight 4, Time 6, and Flow 9.",,4,5,6,1,REDUP(畳語・同一)
ふと,futo,Manner or sound of ふと: 瞬間的想起。高い時間性と流体性。,Psychomime (State/Manner),Dynamics,Neutral,Unvoiced (Light),Neutral,Reduplication,ɸuto,2,8,4,3,9,2,450.0,3.81,8,9000.0,7.64,8,h,6,#FFFFFF,100.0,-0.0,0.0,"Reflecting unvoiced plosives and fricatives for a vector configuration of Weight 2, Time 8, and Flow 3.",,3,5,0,0,OTHER(単発)
ふにゃふにゃ,funyafunya,Manner or sound of ふにゃふにゃ: 骨抜き。最小Weightと最大Moisture。,Psychomime (State/Manner),Dynamics,Neutral,Unvoiced (Light),Neutral,Reduplication,ɸuɲaɸuɲa,1,2,1,1,9,9,200.0,1.75,2,300.0,1.87,9,mh,5,#F5DEB3,89.4,1.5,24.0,"Reflecting fricatives and nasal resonance for a vector configuration of Weight 1, Time 2, and Flow 1.",,4,5,6,1,REDUP(畳語・同一)
