word,pronunciation_romaji,cat_bit,dom_bit,pol_code,int_bit,tone_code,morph_bit,ipa_clean,x1,x2,x3,x4,x5,x6,x7_hz,x7_norm,x8,x9_re,x9_norm,x10,x11,x11_ord,x12,L,a,b,x13_accent,x14_contour,x15_meter,x16_regularity,morph_type
ぱー,pa-,4,2,0,1,0,1,paː,2,1,1,0,9,3,600.0,4.54,0,2000.0,5.09,1,h,6,#FFD700,86.9,-1.9,87.1,2,7,7,1,LONG(長音ー)
ひしひし,hishihishi,4,2,0,1,0,1,çiɕiçiɕi,4,6,7,9,3,4,1800.0,7.32,6,9000.0,7.64,8,c,2,#708090,52.8,-2.1,-10.6,4,5,6,1,REDUP(畳語・同一)
ひそひそ,hisohiso,4,2,0,1,0,1,çisoçiso,1,5,2,9,9,2,2200.0,7.82,5,4000.0,6.27,3,c,2,#2F4F4F,31.3,-11.7,-3.7,4,5,6,1,REDUP(畳語・同一)
ひっそり,hitsori,4,2,0,1,0,1,çissoɾi,2,2,4,9,9,1,2500.0,8.15,6,500.0,2.73,9,cc,1,#F0F8FF,97.2,-1.3,-4.3,5,5,5,8,COMPOUND(複合・異種)
ひひーん,hihi-n,4,2,0,1,0,1,çiçiːŋ,4,4,7,3,8,5,1400.0,6.68,1,10000.0,7.82,6,h,6,#FFFFFF,100.0,-0.0,0.0,5,5,5,8,COMPOUND(複合・異種)
ひやっ,hiyat,4,2,0,1,0,1,çijaʔ,3,9,9,6,9,6,1200.0,6.29,9,15000.0,8.51,9,ccc,0,#E0FFFF,97.9,-9.9,-3.4,2,5,0,0,Q(促音単発)
ひゅうひゅう,hyuuhyuu,4,2,0,1,0,1,çuuçuu,2,3,5,1,9,3,2200.0,7.82,0,12000.0,8.13,5,c,2,#FFFFFF,100.0,-0.0,0.0,4,5,6,1,REDUP(畳語・同一)
ひゅるひゅる,hyuruhyuru,4,2,0,1,0,1,çuɾuçuɾu,2,5,3,2,9,4,1800.0,7.32,3,9000.0,7.64,6,mc,3,#AFEEEE,90.1,-19.6,-6.4,4,5,6,1,REDUP(畳語・同一)
ひょいひょい,hyoihyoi,4,2,0,1,0,1,çoiçoi,2,7,4,2,9,3,1000.0,5.83,6,4000.0,6.27,4,h,6,#FFFFFF,100.0,-0.0,0.0,4,5,6,1,REDUP(畳語・同一)
ひょっ,hyot,4,2,0,1,0,1,çoʔ,3,9,8,8,8,2,1100.0,6.07,9,13000.0,8.27,9,h,6,#FFFFFF,100.0,-0.0,0.0,2,5,0,0,Q(促音単発)
ひょっこり,hyotkori,4,2,0,1,0,1,çokkoɾi,3,8,6,5,8,3,900.0,5.56,8,7000.0,7.22,8,h,6,#FFFFFF,100.0,-0.0,0.0,5,5,5,8,COMPOUND(複合・異種)
ひよひよ,hiyohiyo,4,2,0,1,0,1,çijoçijo,1,3,2,2,9,6,1300.0,6.49,2,800.0,3.53,2,mh,5,#FFFACD,97.6,-5.4,22.2,4,5,6,1,REDUP(畳語・同一)
ひらひら,hirahira,4,2,0,1,0,1,çiɾaçiɾa,1,4,2,1,9,2,850.0,5.42,4,5000.0,6.65,3,mc,3,#FFFFFF,100.0,-0.0,0.0,4,5,6,1,REDUP(畳語・同一)
ひりひり,hirihiri,4,2,0,1,0,1,çiɾiçiɾi,3,6,7,9,5,1,2400.0,8.04,5,14000.0,8.39,7,hh,7,#FF4500,57.6,67.8,69.0,4,5,6,1,REDUP(畳語・同一)
ひんやり,hinyari,4,4,1,1,1,8,çiŋjaɾi,3,3,4,6,9,7,750.0,5.1,5,900.0,3.73,8,cc,1,#AFEEEE,90.1,-19.6,-6.4,5,5,5,8,COMPOUND(複合・異種)
ひーひー,hi-hi-,4,2,0,1,0,1,çiːçiː,4,5,4,8,7,6,2200.0,7.82,1,11000.0,7.98,6,h,6,#FFFFFF,100.0,-0.0,0.0,4,5,6,1,REDUP(畳語・同一)
びくびく,bikubiku,4,2,0,1,0,1,bikubiku,6,7,3,9,5,5,400.0,3.51,7,7500.0,7.33,8,c,2,#808080,53.6,-0.0,0.0,4,5,6,1,REDUP(畳語・同一)
びくり,bikuri,4,2,0,1,0,1,bikuɾi,7,8,8,8,6,4,350.0,3.17,8,9500.0,7.74,9,c,2,#000000,0.0,0.0,0.0,4,6,0,0,RI(り単発)
びしびし,bishibishi,4,2,0,1,0,1,biɕibiɕi,7,8,9,9,3,2,1400.0,6.68,7,12000.0,8.13,9,c,2,#000000,0.0,0.0,0.0,4,5,6,1,REDUP(畳語・同一)
びしゃびしゃ,bishabisha,4,2,0,1,0,1,biɕabiɕa,6,5,3,3,8,9,220.0,2.0,4,18000.0,8.82,9,mc,3,#0000CD,25.0,67.2,-91.5,4,5,6,1,REDUP(畳語・同一)
びしょびしょ,bishobisho,4,2,0,1,0,1,biɕobiɕo,7,4,2,4,8,9,180.0,1.49,2,17000.0,8.72,9,mc,3,#000080,13.0,47.5,-64.7,4,5,6,1,REDUP(畳語・同一)
びっしょり,bitshori,4,2,0,1,0,1,biɕɕoɾi,6,5,4,7,7,9,250.0,2.32,7,3000.0,5.78,9,mh,5,#191970,15.9,31.7,-49.6,5,5,5,8,COMPOUND(複合・異種)
びっしり,bitshiri,4,2,0,1,0,1,biɕɕiɾi,7,4,9,9,3,3,1200.0,6.29,8,8500.0,7.55,9,c,2,#708090,52.8,-2.1,-10.6,5,5,5,8,COMPOUND(複合・異種)
びゅんびゅん,byunbyun,4,2,0,1,0,1,bjumbjuŋ,7,7,9,3,8,4,350.0,3.17,4,15000.0,8.51,8,h,6,#1E90FF,59.4,10.0,-63.4,4,5,6,1,REDUP(畳語・同一)
ぴかっ,pikat,4,2,0,1,0,1,pikaʔ,4,9,9,2,9,1,2800.0,8.44,9,20000.0,9.0,9,h,6,#FFFFFF,100.0,-0.0,0.0,2,5,0,0,Q(促音単発)
ぴかぴか,pikapika,4,16,1,4,1,1,pikapika,3,6,6,0,9,1,2500.0,8.15,4,18000.0,8.82,5,h,6,#FFD700,86.9,-1.9,87.1,4,5,6,1,REDUP(畳語・同一)
ぴかり,pikari,4,2,0,1,0,1,pikaɾi,3,7,8,3,9,2,2200.0,7.82,6,14000.0,8.39,7,h,6,#FFFACD,97.6,-5.4,22.2,4,6,0,0,RI(り単発)
ぴたっ,pitat,4,2,0,1,0,1,pitaʔ,4,9,9,9,5,6,450.0,3.81,9,15000.0,8.51,9,mh,5,#FFFFFF,100.0,-0.0,0.0,2,5,0,0,Q(促音単発)
ぴたり,pitari,4,2,0,1,0,1,pitaɾi,4,8,9,9,6,7,500.0,4.07,8,11000.0,7.98,9,h,6,#FFFFFF,100.0,-0.0,0.0,4,6,0,0,RI(り単発)
ぴちぴち,pichipichi,4,2,1,4,1,1,pitɕipitɕi,3,8,7,5,4,8,1800.0,7.32,7,13000.0,8.27,8,mh,5,#87CEEB,79.2,-14.8,-21.3,4,5,6,1,REDUP(畳語・同一)
ぴったり,pittari,4,32,1,4,1,8,pittaɾi,5,8,9,9,3,5,650.0,4.74,8,9500.0,7.74,9,h,6,#FFFFFF,100.0,-0.0,0.0,5,5,5,8,COMPOUND(複合・異種)
ぴょん,pyon,4,2,0,1,0,1,pjoŋ,3,8,8,4,8,3,800.0,5.26,8,7000.0,7.22,8,h,6,#FFFFFF,100.0,-0.0,0.0,3,6,0,0,N(撥音単発)
ぴょんぴょん,pyonpyon,4,2,0,1,0,1,pjompjoŋ,2,7,6,2,8,4,750.0,5.1,5,6000.0,6.95,7,h,6,#FFFFFF,100.0,-0.0,0.0,4,5,6,1,REDUP(畳語・同一)
ぴりっ,pirit,4,2,0,1,0,1,piɾiʔ,3,9,9,9,4,1,2600.0,8.25,9,17000.0,8.72,9,h,6,#FF4500,57.6,67.8,69.0,2,5,0,0,Q(促音単発)
ぴりぴり,piripiri,4,2,0,1,0,1,piɾipiɾi,4,6,7,9,5,1,2400.0,8.04,6,15000.0,8.51,8,hh,7,#FF0000,53.2,80.1,67.2,4,5,6,1,REDUP(畳語・同一)
ぴん,pin,4,2,0,1,0,1,piŋ,3,7,9,8,4,2,1200.0,6.29,7,10000.0,7.82,9,c,2,#FFFFFF,100.0,-0.0,0.0,3,6,0,0,N(撥音単発)
ぴんぴん,pinpin,4,2,0,1,0,1,pimpiŋ,3,6,8,4,5,3,1100.0,6.07,5,8000.0,7.44,8,h,6,#ADFF2F,92.0,-52.5,81.9,4,5,6,1,REDUP(畳語・同一)
ぴーちく,pi-chiku,4,2,0,1,0,1,piːtɕiku,2,5,5,3,8,4,3000.0,8.61,2,11000.0,7.98,4,h,6,#FFFFE0,99.3,-5.1,14.8,5,5,5,8,COMPOUND(複合・異種)
ぴーぴー,pi-pi-,4,2,0,1,0,1,piːpiː,2,2,6,4,9,3,2800.0,8.44,0,13000.0,8.27,5,h,6,#FFFFFF,100.0,-0.0,0.0,4,5,6,1,REDUP(畳語・同一)
ふうふう,fuufuu,4,2,0,1,0,1,ɸuuɸuu,4,2,2,0,9,7,450.0,3.81,1,7000.0,7.22,5,h,6,#FFD700,86.9,-1.9,87.1,4,5,6,1,REDUP(畳語・同一)
ふかふか,fukafuka,4,1,1,2,2,1,ɸukaɸuka,2,2,2,1,8,3,350.0,3.17,3,400.0,2.35,3,mh,5,#FFF5EE,97.1,2.2,4.6,4,5,6,1,REDUP(畳語・同一)
ふさふさ,fusafusa,4,2,0,1,0,1,ɸusaɸusa,1,3,1,2,9,2,800.0,5.26,2,2000.0,5.09,2,mh,5,#F5F5F5,96.5,-0.0,0.0,4,5,6,1,REDUP(畳語・同一)
ふっくら,futkura,4,2,0,1,0,1,ɸukkuɾa,3,3,4,5,7,5,300.0,2.78,6,800.0,3.53,6,mh,5,#FFE4E1,92.7,8.7,4.8,5,5,5,8,COMPOUND(複合・異種)
ふっと,futto,4,2,0,1,0,1,ɸutto,3,9,8,6,9,1,600.0,4.54,9,12000.0,8.13,9,h,6,#FFFFFF,100.0,-0.0,0.0,3,4,0,0,Qto(っと)
ふっふっ,futfut,4,2,0,1,0,1,ɸuɸɸuʔ,2,9,5,7,9,4,500.0,4.07,9,8000.0,7.44,8,h,6,#FFFFFF,100.0,-0.0,0.0,4,5,6,1,REDUP(畳語・同一)
ふつふつ,futsufutsu,4,2,0,1,0,1,ɸutsuɸutsu,4,6,6,9,6,8,280.0,2.61,5,2500.0,5.47,9,hh,7,#FF4500,57.6,67.8,69.0,4,5,6,1,REDUP(畳語・同一)
ふと,futo,4,2,0,1,0,1,ɸuto,2,8,4,3,9,2,450.0,3.81,8,9000.0,7.64,8,h,6,#FFFFFF,100.0,-0.0,0.0,3,5,0,0,OTHER(単発)
ふにゃふにゃ,funyafunya,4,2,0,1,0,1,ɸuɲaɸuɲa,1,2,1,1,9,9,200.0,1.75,2,300.0,1.87,9,mh,5,#F5DEB3,89.4,1.5,24.0,4,5,6,1,REDUP(畳語・同一)
ふらふら,furafura,4,16384,2,1,1,1,ɸuɾaɸuɾa,2,4,2,2,9,4,320.0,2.94,4,3500.0,6.04,4,mc,3,#FFFFFF,100.0,-0.0,0.0,4,5,6,1,REDUP(畳語・同一)
ふわふわ,fuwafuwa,4,1,1,1,1,1,ɸuwaɸuwa,1,1,1,0,9,2,300.0,2.78,1,100.0,0.0,1,mh,5,#F5F5F5,96.5,-0.0,0.0,4,5,6,1,REDUP(畳語・同一)
ふん,fun,4,2,0,1,0,1,ɸuŋ,4,6,7,8,5,4,220.0,2.0,7,3000.0,5.78,8,h,6,#8B0000,28.1,51.0,41.3,3,6,0,0,N(撥音単発)
ふんわり,funwari,4,2,0,1,0,1,ɸuŋwaɾi,2,2,3,0,9,4,280.0,2.61,2,400.0,2.35,3,mh,5,#FFFACD,97.6,-5.4,22.2,5,5,5,8,COMPOUND(複合・異種)
ぶうぶう,buubuu,4,2,0,1,0,1,buubuu,6,2,4,1,7,7,180.0,1.49,0,1500.0,4.6,7,mc,3,#556B2F,42.2,-18.8,30.6,4,5,6,1,REDUP(畳語・同一)
ぶかぶか,bukabuka,4,2,0,1,0,1,bukabuka,4,4,2,2,8,3,250.0,2.32,4,4000.0,6.27,5,0,4,#D2B48C,75.0,5.0,24.4,4,5,6,1,REDUP(畳語・同一)
ぶくぶく,bukubuku,4,2,0,1,0,1,bukubuku,7,4,3,5,7,9,140.0,0.85,5,2000.0,5.09,9,mc,3,#0000FF,32.3,79.2,-107.9,4,5,6,1,REDUP(畳語・同一)
ぶすっ,busut,4,2,0,1,0,1,busuʔ,7,9,9,9,4,5,400.0,3.51,9,14000.0,8.39,9,mc,3,#000000,0.0,0.0,0.0,2,5,0,0,Q(促音単発)
ぶつくさ,butsukusa,4,2,0,1,0,1,butsukusa,5,6,5,8,6,4,380.0,3.38,6,5000.0,6.65,6,c,2,#708090,52.8,-2.1,-10.6,5,5,5,8,COMPOUND(複合・異種)
ぶらぶら,burabura,4,2,0,1,0,1,buɾabuɾa,5,3,2,1,8,5,280.0,2.61,3,3500.0,6.04,6,mc,3,#8B4513,37.5,26.4,41.0,4,5,6,1,REDUP(畳語・同一)
ぶらり,burari,4,2,0,1,0,1,buɾaɾi,4,6,6,4,8,4,320.0,2.94,6,4000.0,6.27,5,mc,3,#A0522D,43.8,29.3,35.6,4,6,0,0,RI(り単発)
ぶりしゃり,burishari,4,2,0,1,0,1,buɾiɕaɾi,7,8,8,8,3,4,550.0,4.32,7,11000.0,7.98,7,c,2,#FFFFFF,100.0,-0.0,0.0,5,5,5,8,COMPOUND(複合・異種)
ぶるぶる,buruburu,4,2,0,1,0,1,buɾubuɾu,7,7,4,9,5,5,200.0,1.75,7,9000.0,7.64,8,ccc,0,#0000FF,32.3,79.2,-107.9,4,5,6,1,REDUP(畳語・同一)
ぶわぶわ,buwabuwa,4,2,0,1,0,1,buwabuwa,6,4,2,2,9,6,220.0,2.0,2,6000.0,6.95,7,h,6,#FF8C00,69.5,36.8,75.5,4,5,6,1,REDUP(畳語・同一)
ぶんぶん,bunbun,4,2,0,1,0,1,bumbuŋ,7,6,9,3,8,4,180.0,1.49,4,16000.0,8.62,9,h,6,#191970,15.9,31.7,-49.6,4,5,6,1,REDUP(畳語・同一)
ぶーぶー,bu-bu-,4,2,0,1,0,1,buːbuː,6,2,5,2,7,7,160.0,1.19,0,1200.0,4.22,8,c,2,#8B0000,28.1,51.0,41.3,4,5,6,1,REDUP(畳語・同一)
ぷい,pui,4,2,0,1,0,1,pui,3,8,8,6,8,4,600.0,4.54,8,9000.0,7.64,7,h,6,#FFFFFF,100.0,-0.0,0.0,3,5,0,0,OTHER(単発)
ぷかぷか,pukapuka,4,2,0,1,0,1,pukapuka,2,3,2,1,9,3,450.0,3.81,3,100.0,0.0,3,mh,5,#F0FFFF,98.9,-4.9,-1.7,4,5,6,1,REDUP(畳語・同一)
ぷくっ,pukut,4,2,0,1,0,1,pukuʔ,4,9,9,8,7,7,350.0,3.17,9,15000.0,8.51,9,mh,5,#FFB6C1,81.1,28.0,5.0,2,5,0,0,Q(促音単発)
ぷよぷよ,puyopuyo,4,2,0,1,0,1,pujopujo,3,2,1,4,9,9,220.0,2.0,2,500.0,2.73,9,mh,5,#FF69B4,65.5,64.2,-10.6,4,5,6,1,REDUP(畳語・同一)
ぷりぷり,puripuri,4,2,0,1,0,1,puɾipuɾi,4,7,7,7,6,8,550.0,4.32,6,4000.0,6.27,8,h,6,#FF1493,56.0,84.5,-5.7,4,5,6,1,REDUP(畳語・同一)
ぷんぷん,punpun,4,2,0,1,0,1,pumpuŋ,5,6,8,9,5,6,400.0,3.51,5,9000.0,7.64,9,hh,7,#FF0000,53.2,80.1,67.2,4,5,6,1,REDUP(畳語・同一)
へたへた,hetaheta,4,2,0,1,0,1,hetaheta,5,3,1,4,8,6,250.0,2.32,5,500.0,2.73,5,mc,3,#708090,52.8,-2.1,-10.6,4,5,6,1,REDUP(畳語・同一)
へとへと,hetoheto,4,2,0,1,0,1,hetoheto,7,2,1,6,7,7,200.0,1.75,6,300.0,1.87,6,c,2,#2F4F4F,31.3,-11.7,-3.7,4,5,6,1,REDUP(畳語・同一)
へどもど,hedomodo,4,2,0,1,0,1,hedomodo,4,7,3,7,6,5,380.0,3.38,7,6000.0,6.95,6,h,6,#BDB76B,73.4,-8.8,39.3,5,5,5,8,COMPOUND(複合・異種)
へなへな,henahena,4,2,0,1,0,1,henahena,1,2,1,1,9,7,220.0,2.0,2,400.0,2.35,6,mh,5,#F5F5DC,95.9,-4.2,12.0,4,5,6,1,REDUP(畳語・同一)
へらへら,herahera,4,2,0,1,0,1,heɾaheɾa,1,5,3,0,9,4,600.0,4.54,3,3000.0,5.78,3,h,6,#FFFFE0,99.3,-5.1,14.8,4,5,6,1,REDUP(畳語・同一)
べたべた,betabeta,4,2,0,1,0,1,betabeta,6,3,2,9,4,9,200.0,1.75,4,1200.0,4.22,9,mc,3,#8B4513,37.5,26.4,41.0,4,5,6,1,REDUP(畳語・同一)
べったり,bettari,4,2,0,1,0,1,bettaɾi,7,2,5,9,3,9,180.0,1.49,7,900.0,3.73,9,mc,3,#556B2F,42.2,-18.8,30.6,5,5,5,8,COMPOUND(複合・異種)
べとべと,betobeto,4,2,0,1,0,1,betobeto,7,2,1,8,5,9,150.0,1.03,3,1000.0,3.91,9,mc,3,#4B3621,24.5,6.4,16.8,4,5,6,1,REDUP(畳語・同一)
べらべら,berabera,4,2,0,1,0,1,beɾabeɾa,5,6,5,1,8,4,450.0,3.81,4,14000.0,8.39,6,h,6,#FF8C00,69.5,36.8,75.5,4,5,6,1,REDUP(畳語・同一)
ぺこぺこ,pekopeko,4,16384,2,4,1,1,pekopeko,3,7,5,3,6,3,500.0,4.07,6,5000.0,6.65,5,h,6,#FFD700,86.9,-1.9,87.1,4,5,6,1,REDUP(畳語・同一)
ぺしゃり,peshari,4,2,0,1,0,1,peɕaɾi,5,8,7,6,7,8,350.0,3.17,8,9000.0,7.64,8,mc,3,#808080,53.6,-0.0,0.0,4,6,0,0,RI(り単発)
ぺちゃくちゃ,pechakucha,4,2,0,1,0,1,petɕakutɕa,3,6,4,2,7,9,450.0,3.81,5,15000.0,8.51,9,h,6,#FF69B4,65.5,64.2,-10.6,5,5,5,8,COMPOUND(複合・異種)
ぺちゃんこ,pechanko,4,2,0,1,0,1,petɕaŋko,6,8,5,8,5,8,280.0,2.61,8,3000.0,5.78,9,mc,3,#708090,52.8,-2.1,-10.6,5,5,5,8,COMPOUND(複合・異種)
ぺったんぺったん,pettanpettan,4,2,0,1,0,1,pettampettaŋ,6,7,8,7,4,8,220.0,2.0,7,11000.0,7.98,9,mh,5,#FFFFFF,100.0,-0.0,0.0,4,5,6,1,REDUP(畳語・同一)
ぺりぺり,periperi,4,2,0,1,0,1,peɾipeɾi,3,8,7,8,3,0,1800.0,7.32,8,12000.0,8.13,6,c,2,#FFFFFF,100.0,-0.0,0.0,4,5,6,1,REDUP(畳語・同一)
ぺろっ,perot,4,2,0,1,0,1,peɾoʔ,2,9,8,4,8,9,1100.0,6.07,9,14000.0,8.39,9,mh,5,#FFB6C1,81.1,28.0,5.0,2,5,0,0,Q(促音単発)
ぺろぺろ,peropero,4,2,0,1,0,1,peɾopeɾo,2,5,4,2,9,9,450.0,3.81,4,2500.0,5.47,9,mh,5,#FFC0CB,83.6,24.1,3.3,4,5,6,1,REDUP(畳語・同一)
ほいほい,hoihoi,4,2,0,1,0,1,hoihoi,2,8,4,1,9,3,1000.0,5.83,7,8000.0,7.44,4,h,6,#FFFFFF,100.0,-0.0,0.0,4,5,6,1,REDUP(畳語・同一)
ほうほけきょ,houhokekyo,4,2,0,1,0,1,houhokekjo,2,4,7,2,8,4,1800.0,7.32,3,12000.0,8.13,6,h,6,#ADFF2F,92.0,-52.5,81.9,3,5,0,0,OTHER(単発)
ほかほか,hokahoka,4,2,0,1,0,1,hokahoka,3,2,2,0,9,5,420.0,3.63,1,400.0,2.35,4,hh,7,#FF4500,57.6,67.8,69.0,4,5,6,1,REDUP(畳語・同一)
ほくほく,hokuhoku,4,2,0,1,0,1,hokuhoku,4,4,4,5,6,3,350.0,3.17,5,1200.0,4.22,5,hh,7,#DAA520,70.8,8.5,68.8,4,5,6,1,REDUP(畳語・同一)
ほたほた,hotahota,4,2,0,1,0,1,hotahota,6,5,3,4,8,8,250.0,2.32,5,2000.0,5.09,8,mc,3,#8B4513,37.5,26.4,41.0,4,5,6,1,REDUP(畳語・同一)
ほっ,hot,4,2,0,1,0,1,hoʔ,1,9,9,4,9,4,500.0,4.07,9,15000.0,8.51,9,h,6,#FFFFFF,100.0,-0.0,0.0,2,5,0,0,Q(促音単発)
ほっそり,hotsori,4,2,0,1,0,1,hossoɾi,1,3,6,8,9,1,1400.0,6.68,6,900.0,3.73,8,0,4,#FFFFFF,100.0,-0.0,0.0,5,5,5,8,COMPOUND(複合・異種)
ほつほつ,hotsuhotsu,4,2,0,1,0,1,hotsuhotsu,3,7,6,8,7,4,900.0,5.56,7,6000.0,6.95,6,mc,3,#808080,53.6,-0.0,0.0,4,5,6,1,REDUP(畳語・同一)
ほとほと,hotohoto,4,2,0,1,0,1,hotohoto,6,2,3,7,7,6,280.0,2.61,4,500.0,2.73,7,c,2,#483D8B,30.8,26.1,-42.1,4,5,6,1,REDUP(畳語・同一)
ほやほや,hoyahoya,4,2,0,1,0,1,hojahoja,2,4,3,0,9,7,480.0,3.97,2,800.0,3.53,3,hh,7,#FFE4E1,92.7,8.7,4.8,4,5,6,1,REDUP(畳語・同一)
ほろっ,horot,4,2,0,1,0,1,hoɾoʔ,2,9,7,5,9,5,550.0,4.32,9,11000.0,7.98,9,mc,3,#FFFFFF,100.0,-0.0,0.0,2,5,0,0,Q(促音単発)
ほんのり,honnori,4,2,0,1,0,1,honnoɾi,2,2,3,2,9,4,400.0,3.51,4,600.0,3.04,3,mh,5,#FFF0F5,96.1,5.9,-0.6,5,5,5,8,COMPOUND(複合・異種)
ほんわか,honwaka,4,2,0,1,0,1,hoŋwaka,1,1,1,0,9,4,320.0,2.94,1,200.0,1.18,2,hh,7,#FFFACD,97.6,-5.4,22.2,5,5,5,8,COMPOUND(複合・異種)
ほーほー,ho-ho-,4,2,0,1,0,1,hoːhoː,3,1,4,2,9,3,250.0,2.32,0,1200.0,4.22,4,mh,5,#F5F5F5,96.5,-0.0,0.0,4,5,6,1,REDUP(畳語・同一)
ぼけっ,boket,4,2,0,1,0,1,bokeʔ,6,9,3,9,7,4,300.0,2.78,9,15000.0,8.51,8,0,4,#FFFFFF,100.0,-0.0,0.0,2,5,0,0,Q(促音単発)
ぼこぼこ,bokoboko,4,2,0,1,0,1,bokoboko,7,6,6,4,6,9,180.0,1.49,5,2500.0,5.47,9,mh,5,#8B4513,37.5,26.4,41.0,4,5,6,1,REDUP(畳語・同一)
ぼさっ,bosat,4,2,0,1,0,1,bosaʔ,6,9,4,9,7,1,400.0,3.51,9,14000.0,8.39,8,c,2,#000000,0.0,0.0,0.0,2,5,0,0,Q(促音単発)
ぼさぼさ,bosabosa,4,2,0,1,0,1,bosabosa,5,3,1,7,7,0,550.0,4.32,3,9000.0,7.64,4,c,2,#8B4513,37.5,26.4,41.0,4,5,6,1,REDUP(畳語・同一)
ぼそぼそ,bosoboso,4,2,0,1,0,1,bosoboso,5,4,2,8,7,1,500.0,4.07,4,8000.0,7.44,5,c,2,#708090,52.8,-2.1,-10.6,4,5,6,1,REDUP(畳語・同一)
ぼたり,botari,4,2,0,1,0,1,botaɾi,7,8,8,7,6,9,240.0,2.22,7,3500.0,6.04,9,mc,3,#556B2F,42.2,-18.8,30.6,4,6,0,0,RI(り単発)
ぼちぼち,bochibochi,4,2,0,1,0,1,botɕibotɕi,5,4,4,6,7,5,400.0,3.51,5,2000.0,5.09,6,mh,5,#FFFFFF,100.0,-0.0,0.0,4,5,6,1,REDUP(畳語・同一)
ぼちゃん,bochan,4,2,0,1,0,1,botɕaŋ,8,8,9,8,5,9,140.0,0.85,8,18000.0,8.82,9,mc,3,#0000CD,25.0,67.2,-91.5,3,6,0,0,N(撥音単発)
ぼってり,botteri,4,2,0,1,0,1,botteɾi,8,2,5,9,4,9,160.0,1.19,7,1200.0,4.22,9,mc,3,#8B4513,37.5,26.4,41.0,5,5,5,8,COMPOUND(複合・異種)
ぼてぼて,botebote,4,2,0,1,0,1,botebote,8,3,2,7,5,9,140.0,0.85,3,1100.0,4.07,9,mc,3,#4B3621,24.5,6.4,16.8,4,5,6,1,REDUP(畳語・同一)
ぼやぼや,boyaboya,4,2,0,1,0,1,bojaboja,5,2,1,4,8,5,300.0,2.78,2,1000.0,3.91,5,h,6,#BDB76B,73.4,-8.8,39.3,4,5,6,1,REDUP(畳語・同一)
ぼりぼり,boribori,4,2,0,1,0,1,boɾiboɾi,7,7,7,8,2,0,500.0,4.07,7,12000.0,8.13,7,c,2,#8B4513,37.5,26.4,41.0,4,5,6,1,REDUP(畳語・同一)
ぼんやり,bonyari,4,16,2,1,2,8,boŋjaɾi,6,1,1,9,7,6,180.0,1.49,2,200.0,1.18,8,c,2,#708090,52.8,-2.1,-10.6,5,5,5,8,COMPOUND(複合・異種)
ぽいぽい,poipoi,4,2,0,1,0,1,poipoi,3,8,4,1,9,3,900.0,5.56,7,9000.0,7.64,5,h,6,#FFFFFF,100.0,-0.0,0.0,4,5,6,1,REDUP(畳語・同一)
ぽかぽか,pokapoka,4,2,0,1,0,1,pokapoka,3,2,2,0,9,4,450.0,3.81,2,500.0,2.73,3,hh,7,#FF4500,57.6,67.8,69.0,4,5,6,1,REDUP(畳語・同一)
ぽかり,pokari,4,2,0,1,0,1,pokaɾi,3,8,8,5,9,3,550.0,4.32,7,8000.0,7.44,8,h,6,#FFFFFF,100.0,-0.0,0.0,4,6,0,0,RI(り単発)
ぽきっ,pokit,4,2,0,1,0,1,pokiʔ,4,9,9,9,2,0,1500.0,6.86,9,16000.0,8.62,9,c,2,#FFFFFF,100.0,-0.0,0.0,2,5,0,0,Q(促音単発)
ぽきぽき,pokipoki,4,2,0,1,0,1,pokipoki,4,8,7,8,2,0,1400.0,6.68,8,14000.0,8.39,7,c,2,#CD853F,61.8,21.4,47.9,4,5,6,1,REDUP(畳語・同一)
ぽきり,pokiri,4,2,0,1,0,1,pokiɾi,4,8,8,7,3,0,1200.0,6.29,7,10000.0,7.82,8,c,2,#FFFFFF,100.0,-0.0,0.0,4,6,0,0,RI(り単発)
ぽたぽた,potapota,4,2,0,1,0,1,potapota,5,6,3,3,9,9,300.0,2.78,5,1500.0,4.6,9,mh,5,#4169E1,47.8,26.3,-65.3,4,5,6,1,REDUP(畳語・同一)
ぽっかり,potkari,4,2,0,1,0,1,pokkaɾi,3,4,7,2,9,3,400.0,3.51,7,4000.0,6.27,8,h,6,#FFFFFF,100.0,-0.0,0.0,5,5,5,8,COMPOUND(複合・異種)
ぽっくり,potkuri,4,2,0,1,0,1,pokkuɾi,4,7,5,8,7,4,350.0,3.17,8,1800.0,4.91,7,mh,5,#DEB887,77.0,7.0,30.0,5,5,5,8,COMPOUND(複合・異種)
ぽっちゃり,potchari,4,2,0,1,0,1,pottɕaɾi,4,2,4,6,8,9,300.0,2.78,5,1100.0,4.07,9,mh,5,#FFB6C1,81.1,28.0,5.0,5,5,5,8,COMPOUND(複合・異種)
ぽっぽ,potpo,4,2,0,1,0,1,poppo,4,6,6,4,8,5,400.0,3.51,7,6000.0,6.95,7,hh,7,#FF0000,53.2,80.1,67.2,2,5,0,0,Q(促音単発)
ぽつぽつ,potsupotsu,4,2,0,1,0,1,potsupotsu,3,7,6,8,8,6,700.0,4.93,7,5000.0,6.65,6,mc,3,#808080,53.6,-0.0,0.0,4,5,6,1,REDUP(畳語・同一)
